# years, casales, meansales
1970.00 115.20 121.54
1971.00 109.60 124.68
1972.00 125.00 129.32
1973.00 128.30 130.89
1974.00 133.10 133.74
1975.00 121.80 135.54
1976.00 122.30 138.75
1977.00 121.70 137.90
1978.00 124.70 137.13
1979.00 124.60 134.82
1980.00 126.80 134.88
1981.00 113.80 134.98
1982.00 113.50 133.05
1983.00 111.10 128.19
1984.00 107.10 122.25
1985.00 107.10 120.53
1986.00 107.90 117.62
1987.00 106.10 114.73
1988.00 102.20 110.52
1989.00 96.80 106.65
1990.00 88.90 102.36
1991.00 81.20 100.11
1992.00 79.00 98.94
1993.00 80.30 97.47
1994.00 79.00 96.03
1995.00 77.30 95.94
1996.00 71.40 93.92
1997.00 64.60 93.45
1998.00 66.00 92.07
1999.00 61.70 88.92
2000.00 58.50 83.80
2001.00 54.10 80.94
2002.00 52.00 79.20
2003.00 48.20 77.82
2004.00 42.50 72.76
2005.00 42.30 71.47
2006.00 42.20 69.60
2007.00 37.50 67.54
2008.00 31.80 62.99
2009.00 28.60 59.88
2010.00 24.80 54.26
2011.00 27.10 52.54
2012.00 25.00 50.82
2013.00 24.40 48.93
2014.00 23.00 46.71
2015.00 23.00 46.35
2016.00 23.10 45.12
2017.00 22.50 43.59
