# years, casales, meansales
1970.00 120.00 121.54
1971.00 117.60 124.68
1972.00 110.80 129.32
1973.00 109.30 130.89
1974.00 112.40 133.74
1975.00 110.20 135.54
1976.00 113.40 138.75
1977.00 117.30 137.90
1978.00 117.50 137.13
1979.00 117.40 134.82
1980.00 118.00 134.88
1981.00 116.40 134.98
1982.00 114.70 133.05
1983.00 114.10 128.19
1984.00 112.50 122.25
1985.00 111.00 120.53
1986.00 108.50 117.62
1987.00 109.00 114.73
1988.00 104.80 110.52
1989.00 100.60 106.65
1990.00 91.50 102.36
1991.00 86.70 100.11
1992.00 83.60 98.94
1993.00 79.10 97.47
1994.00 76.60 96.03
1995.00 79.30 95.94
1996.00 76.00 93.92
1997.00 75.90 93.45
1998.00 75.50 92.07
1999.00 73.40 88.92
2000.00 71.40 83.80
2001.00 68.70 80.94
2002.00 66.40 79.20
2003.00 59.70 77.82
2004.00 53.10 72.76
2005.00 49.90 71.47
2006.00 50.90 69.60
2007.00 50.50 67.54
2008.00 47.40 62.99
2009.00 45.90 59.88
2010.00 40.80 54.26
2011.00 36.30 52.54
2012.00 33.50 50.82
2013.00 31.40 48.93
2014.00 30.10 46.71
2015.00 28.60 46.35
2016.00 28.30 45.12
2017.00 26.50 43.59
