# years, casales, meansales
1970.00 200.40 121.54
1971.00 213.00 124.68
1972.00 220.60 129.32
1973.00 209.40 130.89
1974.00 182.70 133.74
1975.00 176.50 135.54
1976.00 167.70 138.75
1977.00 136.70 137.90
1978.00 130.30 137.13
1979.00 128.50 134.82
1980.00 129.70 134.88
1981.00 131.90 134.98
1982.00 132.00 133.05
1983.00 124.50 128.19
1984.00 124.60 122.25
1985.00 122.10 120.53
1986.00 117.20 117.62
1987.00 113.00 114.73
1988.00 105.40 110.52
1989.00 101.10 106.65
1990.00 84.10 102.36
1991.00 82.20 100.11
1992.00 82.60 98.94
1993.00 68.00 97.47
1994.00 54.10 96.03
1995.00 57.90 95.94
1996.00 56.00 93.92
1997.00 54.30 93.45
1998.00 50.90 92.07
1999.00 50.80 88.92
2000.00 50.20 83.80
2001.00 43.90 80.94
2002.00 44.40 79.20
2003.00 45.60 77.82
2004.00 38.40 72.76
2005.00 37.30 71.47
2006.00 42.20 69.60
2007.00 38.10 67.54
2008.00 38.10 62.99
2009.00 33.40 59.88
2010.00 23.10 54.26
2011.00 24.20 52.54
2012.00 20.00 50.82
2013.00 18.60 48.93
2014.00 16.20 46.71
2015.00 15.80 46.35
2016.00 14.80 45.12
2017.00 13.20 43.59
