# years, casales, meansales
1970.00 123.60 121.54
1971.00 123.00 124.68
1972.00 126.00 129.32
1973.00 132.60 130.89
1974.00 136.00 133.74
1975.00 131.90 135.54
1976.00 130.30 138.75
1977.00 133.10 137.90
1978.00 133.40 137.13
1979.00 135.40 134.82
1980.00 139.00 134.88
1981.00 132.80 134.98
1982.00 131.80 133.05
1983.00 127.60 128.19
1984.00 124.70 122.25
1985.00 124.20 120.53
1986.00 124.70 117.62
1987.00 125.10 114.73
1988.00 119.50 110.52
1989.00 113.80 106.65
1990.00 110.10 102.36
1991.00 98.20 100.11
1992.00 95.90 98.94
1993.00 96.80 97.47
1994.00 93.60 96.03
1995.00 95.40 95.94
1996.00 91.80 93.92
1997.00 93.00 93.45
1998.00 91.70 92.07
1999.00 88.20 88.92
2000.00 82.50 83.80
2001.00 78.60 80.94
2002.00 77.90 79.20
2003.00 76.70 77.82
2004.00 74.20 72.76
2005.00 75.30 71.47
2006.00 71.90 69.60
2007.00 69.90 67.54
2008.00 67.90 62.99
2009.00 70.60 59.88
2010.00 50.00 54.26
2011.00 49.70 52.54
2012.00 45.90 50.82
2013.00 44.30 48.93
2014.00 42.40 46.71
2015.00 41.90 46.35
2016.00 41.50 45.12
2017.00 40.60 43.59
