# years, casales, meansales
1970.00 115.90 121.54
1971.00 119.80 124.68
1972.00 125.30 129.32
1973.00 126.70 130.89
1974.00 129.90 133.74
1975.00 133.60 135.54
1976.00 139.60 138.75
1977.00 140.00 137.90
1978.00 142.70 137.13
1979.00 140.10 134.82
1980.00 143.80 134.88
1981.00 144.00 134.98
1982.00 143.90 133.05
1983.00 133.70 128.19
1984.00 128.90 122.25
1985.00 125.00 120.53
1986.00 121.20 117.62
1987.00 116.50 114.73
1988.00 110.90 110.52
1989.00 103.60 106.65
1990.00 101.50 102.36
1991.00 107.20 100.11
1992.00 108.50 98.94
1993.00 106.20 97.47
1994.00 105.30 96.03
1995.00 105.70 95.94
1996.00 106.80 93.92
1997.00 105.30 93.45
1998.00 103.20 92.07
1999.00 101.00 88.92
2000.00 104.30 83.80
2001.00 83.10 80.94
2002.00 97.00 79.20
2003.00 82.90 77.82
2004.00 85.60 72.76
2005.00 91.00 71.47
2006.00 77.30 69.60
2007.00 86.70 67.54
2008.00 87.90 62.99
2009.00 82.60 59.88
2010.00 74.30 54.26
2011.00 78.80 52.54
2012.00 72.00 50.82
2013.00 73.30 48.93
2014.00 65.10 46.71
2015.00 73.80 46.35
2016.00 55.90 45.12
2017.00 57.60 43.59
