# years, casales, meansales
1970.00 121.30 121.54
1971.00 127.60 124.68
1972.00 130.00 129.32
1973.00 132.10 130.89
1974.00 135.40 133.74
1975.00 135.60 135.54
1976.00 139.50 138.75
1977.00 140.80 137.90
1978.00 141.80 137.13
1979.00 140.20 134.82
1980.00 142.10 134.88
1981.00 140.50 134.98
1982.00 139.70 133.05
1983.00 134.10 128.19
1984.00 130.00 122.25
1985.00 129.20 120.53
1986.00 128.80 117.62
1987.00 128.70 114.73
1988.00 127.40 110.52
1989.00 122.80 106.65
1990.00 119.10 102.36
1991.00 119.90 100.11
1992.00 122.30 98.94
1993.00 121.60 97.47
1994.00 119.40 96.03
1995.00 124.00 95.94
1996.00 124.10 93.92
1997.00 120.60 93.45
1998.00 120.10 92.07
1999.00 118.00 88.92
2000.00 113.80 83.80
2001.00 107.80 80.94
2002.00 99.20 79.20
2003.00 106.40 77.82
2004.00 105.00 72.76
2005.00 103.40 71.47
2006.00 105.10 69.60
2007.00 100.60 67.54
2008.00 100.10 62.99
2009.00 97.20 59.88
2010.00 92.30 54.26
2011.00 91.10 52.54
2012.00 89.40 50.82
2013.00 87.40 48.93
2014.00 82.60 46.71
2015.00 81.80 46.35
2016.00 83.40 45.12
2017.00 79.50 43.59
