# years, casales, meansales
1970.00 189.50 121.54
1971.00 190.50 124.68
1972.00 198.60 129.32
1973.00 201.50 130.89
1974.00 204.70 133.74
1975.00 205.20 135.54
1976.00 201.40 138.75
1977.00 190.80 137.90
1978.00 187.00 137.13
1979.00 183.30 134.82
1980.00 177.70 134.88
1981.00 171.90 134.98
1982.00 165.10 133.05
1983.00 159.20 128.19
1984.00 136.60 122.25
1985.00 146.70 120.53
1986.00 142.60 117.62
1987.00 147.70 114.73
1988.00 141.90 110.52
1989.00 137.90 106.65
1990.00 137.30 102.36
1991.00 115.50 100.11
1992.00 110.00 98.94
1993.00 108.10 97.47
1994.00 105.20 96.03
1995.00 100.90 95.94
1996.00 99.00 93.92
1997.00 95.60 93.45
1998.00 102.40 92.07
1999.00 103.90 88.92
2000.00 93.20 83.80
2001.00 90.50 80.94
2002.00 82.20 79.20
2003.00 86.60 77.82
2004.00 69.90 72.76
2005.00 69.70 71.47
2006.00 68.50 69.60
2007.00 65.50 67.54
2008.00 61.90 62.99
2009.00 53.50 59.88
2010.00 48.10 54.26
2011.00 45.70 52.54
2012.00 43.10 50.82
2013.00 43.20 48.93
2014.00 41.60 46.71
2015.00 46.40 46.35
2016.00 30.90 45.12
2017.00 36.30 43.59
