# years, casales, meansales
1970.00 122.60 121.54
1971.00 124.40 124.68
1972.00 138.00 129.32
1973.00 146.80 130.89
1974.00 151.80 133.74
1975.00 155.50 135.54
1976.00 171.10 138.75
1977.00 169.40 137.90
1978.00 162.40 137.13
1979.00 160.90 134.82
1980.00 161.60 134.88
1981.00 163.80 134.98
1982.00 162.30 133.05
1983.00 153.80 128.19
1984.00 144.30 122.25
1985.00 144.50 120.53
1986.00 131.20 117.62
1987.00 128.30 114.73
1988.00 128.70 110.52
1989.00 120.90 106.65
1990.00 124.30 102.36
1991.00 120.90 100.11
1992.00 126.50 98.94
1993.00 117.20 97.47
1994.00 120.30 96.03
1995.00 123.20 95.94
1996.00 102.50 93.92
1997.00 97.70 93.45
1998.00 97.00 92.07
1999.00 94.10 88.92
2000.00 88.90 83.80
2001.00 94.30 80.94
2002.00 93.00 79.20
2003.00 77.90 77.82
2004.00 69.20 72.76
2005.00 63.90 71.47
2006.00 63.90 69.60
2007.00 54.50 67.54
2008.00 51.60 62.99
2009.00 48.90 59.88
2010.00 47.70 54.26
2011.00 48.70 52.54
2012.00 45.70 50.82
2013.00 42.10 48.93
2014.00 40.40 46.71
2015.00 40.40 46.35
2016.00 37.40 45.12
2017.00 36.30 43.59
