# years, casales, meansales
1970.00 96.70 121.54
1971.00 97.00 124.68
1972.00 88.50 129.32
1973.00 91.00 130.89
1974.00 98.60 133.74
1975.00 99.50 135.54
1976.00 100.30 138.75
1977.00 99.30 137.90
1978.00 101.30 137.13
1979.00 101.40 134.82
1980.00 101.40 134.88
1981.00 112.70 134.98
1982.00 106.60 133.05
1983.00 102.40 128.19
1984.00 96.20 122.25
1985.00 96.50 120.53
1986.00 94.20 117.62
1987.00 91.30 114.73
1988.00 88.20 110.52
1989.00 86.10 106.65
1990.00 83.40 102.36
1991.00 78.70 100.11
1992.00 81.10 98.94
1993.00 79.40 97.47
1994.00 72.60 96.03
1995.00 67.40 95.94
1996.00 58.10 93.92
1997.00 55.60 93.45
1998.00 56.40 92.07
1999.00 55.10 88.92
2000.00 52.80 83.80
2001.00 50.20 80.94
2002.00 45.00 79.20
2003.00 40.10 77.82
2004.00 37.70 72.76
2005.00 37.20 71.47
2006.00 33.70 69.60
2007.00 32.40 67.54
2008.00 31.90 62.99
2009.00 30.10 59.88
2010.00 25.60 54.26
2011.00 21.70 52.54
2012.00 20.30 50.82
2013.00 19.50 48.93
2014.00 18.60 46.71
2015.00 18.80 46.35
2016.00 18.00 45.12
2017.00 17.00 43.59
