# years, casales, meansales
1970.00 106.40 121.54
1971.00 105.40 124.68
1972.00 108.80 129.32
1973.00 109.50 130.89
1974.00 111.80 133.74
1975.00 113.50 135.54
1976.00 115.40 138.75
1977.00 117.20 137.90
1978.00 116.70 137.13
1979.00 117.10 134.82
1980.00 117.60 134.88
1981.00 119.90 134.98
1982.00 115.60 133.05
1983.00 106.30 128.19
1984.00 105.60 122.25
1985.00 107.00 120.53
1986.00 105.40 117.62
1987.00 106.00 114.73
1988.00 102.60 110.52
1989.00 100.30 106.65
1990.00 94.10 102.36
1991.00 95.50 100.11
1992.00 96.20 98.94
1993.00 91.20 97.47
1994.00 91.80 96.03
1995.00 93.50 95.94
1996.00 92.10 93.92
1997.00 91.90 93.45
1998.00 88.70 92.07
1999.00 84.40 88.92
2000.00 80.10 83.80
2001.00 78.20 80.94
2002.00 75.30 79.20
2003.00 71.00 77.82
2004.00 69.90 72.76
2005.00 70.10 71.47
2006.00 71.30 69.60
2007.00 69.70 67.54
2008.00 66.70 62.99
2009.00 55.30 59.88
2010.00 48.20 54.26
2011.00 42.50 52.54
2012.00 41.20 50.82
2013.00 39.80 48.93
2014.00 39.90 46.71
2015.00 39.50 46.35
2016.00 39.70 45.12
2017.00 39.00 43.59
