# years, casales, meansales
1970.00 155.00 121.54
1971.00 161.10 124.68
1972.00 156.30 129.32
1973.00 154.70 130.89
1974.00 151.30 133.74
1975.00 147.60 135.54
1976.00 153.00 138.75
1977.00 153.30 137.90
1978.00 155.50 137.13
1979.00 150.20 134.82
1980.00 150.50 134.88
1981.00 152.60 134.98
1982.00 154.10 133.05
1983.00 149.60 128.19
1984.00 144.00 122.25
1985.00 144.50 120.53
1986.00 142.40 117.62
1987.00 141.00 114.73
1988.00 137.10 110.52
1989.00 131.70 106.65
1990.00 127.20 102.36
1991.00 118.80 100.11
1992.00 120.00 98.94
1993.00 123.80 97.47
1994.00 126.10 96.03
1995.00 127.20 95.94
1996.00 128.30 93.92
1997.00 124.10 93.45
1998.00 132.80 92.07
1999.00 139.50 88.92
2000.00 140.70 83.80
2001.00 141.40 80.94
2002.00 142.40 79.20
2003.00 184.20 77.82
2004.00 176.00 72.76
2005.00 178.80 71.47
2006.00 183.60 69.60
2007.00 185.20 67.54
2008.00 133.30 62.99
2009.00 122.80 59.88
2010.00 95.00 54.26
2011.00 87.60 52.54
2012.00 84.90 50.82
2013.00 77.10 48.93
2014.00 71.20 46.71
2015.00 70.10 46.35
2016.00 68.10 45.12
2017.00 72.60 43.59
