# years, casales, meansales
1970.00 102.40 121.54
1971.00 108.50 124.68
1972.00 126.10 129.32
1973.00 121.80 130.89
1974.00 125.60 133.74
1975.00 123.30 135.54
1976.00 125.10 138.75
1977.00 125.00 137.90
1978.00 122.80 137.13
1979.00 117.50 134.82
1980.00 115.20 134.88
1981.00 114.10 134.98
1982.00 111.50 133.05
1983.00 111.30 128.19
1984.00 103.60 122.25
1985.00 100.70 120.53
1986.00 96.70 117.62
1987.00 95.00 114.73
1988.00 84.50 110.52
1989.00 78.40 106.65
1990.00 90.10 102.36
1991.00 85.40 100.11
1992.00 85.10 98.94
1993.00 86.70 97.47
1994.00 93.00 96.03
1995.00 78.20 95.94
1996.00 73.60 93.92
1997.00 75.00 93.45
1998.00 78.90 92.07
1999.00 75.10 88.92
2000.00 66.90 83.80
2001.00 66.70 80.94
2002.00 63.30 79.20
2003.00 64.70 77.82
2004.00 60.80 72.76
2005.00 58.30 71.47
2006.00 58.80 69.60
2007.00 58.60 67.54
2008.00 55.90 62.99
2009.00 52.40 59.88
2010.00 46.40 54.26
2011.00 45.50 52.54
2012.00 43.50 50.82
2013.00 43.10 48.93
2014.00 40.80 46.71
2015.00 40.80 46.35
2016.00 40.70 45.12
2017.00 39.00 43.59
