# years, casales, meansales
1970.00 111.20 121.54
1971.00 115.60 124.68
1972.00 122.20 129.32
1973.00 119.90 130.89
1974.00 121.90 133.74
1975.00 123.70 135.54
1976.00 124.90 138.75
1977.00 127.00 137.90
1978.00 127.20 137.13
1979.00 120.30 134.82
1980.00 122.00 134.88
1981.00 121.10 134.98
1982.00 122.40 133.05
1983.00 113.70 128.19
1984.00 110.10 122.25
1985.00 103.60 120.53
1986.00 97.80 117.62
1987.00 91.70 114.73
1988.00 87.10 110.52
1989.00 86.20 106.65
1990.00 84.70 102.36
1991.00 82.90 100.11
1992.00 86.60 98.94
1993.00 86.00 97.47
1994.00 88.20 96.03
1995.00 90.50 95.94
1996.00 87.30 93.92
1997.00 88.90 93.45
1998.00 89.10 92.07
1999.00 82.60 88.92
2000.00 75.50 83.80
2001.00 74.80 80.94
2002.00 74.40 79.20
2003.00 71.70 77.82
2004.00 68.00 72.76
2005.00 63.50 71.47
2006.00 51.60 69.60
2007.00 52.60 67.54
2008.00 52.60 62.99
2009.00 49.80 59.88
2010.00 47.30 54.26
2011.00 45.50 52.54
2012.00 45.50 50.82
2013.00 44.30 48.93
2014.00 43.00 46.71
2015.00 42.20 46.35
2016.00 42.20 45.12
2017.00 41.10 43.59
