# years, casales, meansales
1970.00 172.40 121.54
1971.00 187.60 124.68
1972.00 214.10 129.32
1973.00 226.50 130.89
1974.00 227.30 133.74
1975.00 226.00 135.54
1976.00 230.20 138.75
1977.00 217.00 137.90
1978.00 205.50 137.13
1979.00 197.30 134.82
1980.00 187.80 134.88
1981.00 179.30 134.98
1982.00 179.00 133.05
1983.00 169.70 128.19
1984.00 160.60 122.25
1985.00 156.30 120.53
1986.00 154.40 117.62
1987.00 150.50 114.73
1988.00 146.00 110.52
1989.00 139.30 106.65
1990.00 133.70 102.36
1991.00 132.70 100.11
1992.00 128.80 98.94
1993.00 129.70 97.47
1994.00 112.70 96.03
1995.00 124.90 95.94
1996.00 129.70 93.92
1997.00 125.60 93.45
1998.00 126.00 92.07
1999.00 113.10 88.92
2000.00 109.00 83.80
2001.00 100.10 80.94
2002.00 98.50 79.20
2003.00 97.70 77.82
2004.00 95.60 72.76
2005.00 93.80 71.47
2006.00 89.60 69.60
2007.00 78.30 67.54
2008.00 73.70 62.99
2009.00 69.60 59.88
2010.00 61.50 54.26
2011.00 60.90 52.54
2012.00 60.70 50.82
2013.00 57.50 48.93
2014.00 56.70 46.71
2015.00 54.10 46.35
2016.00 54.40 45.12
2017.00 54.50 43.59
