# years, casales, meansales
1970.00 93.80 121.54
1971.00 98.50 124.68
1972.00 103.80 129.32
1973.00 108.70 130.89
1974.00 110.50 133.74
1975.00 117.90 135.54
1976.00 125.40 138.75
1977.00 122.20 137.90
1978.00 121.90 137.13
1979.00 121.30 134.82
1980.00 123.70 134.88
1981.00 125.70 134.98
1982.00 126.80 133.05
1983.00 119.60 128.19
1984.00 109.40 122.25
1985.00 103.20 120.53
1986.00 99.80 117.62
1987.00 92.30 114.73
1988.00 87.10 110.52
1989.00 84.10 106.65
1990.00 77.10 102.36
1991.00 85.20 100.11
1992.00 74.40 98.94
1993.00 83.00 97.47
1994.00 81.00 96.03
1995.00 80.60 95.94
1996.00 80.80 93.92
1997.00 77.50 93.45
1998.00 79.10 92.07
1999.00 74.70 88.92
2000.00 72.50 83.80
2001.00 70.10 80.94
2002.00 68.50 79.20
2003.00 65.70 77.82
2004.00 65.70 72.76
2005.00 66.00 71.47
2006.00 73.70 69.60
2007.00 75.90 67.54
2008.00 74.00 62.99
2009.00 72.90 59.88
2010.00 69.30 54.26
2011.00 69.00 52.54
2012.00 74.50 50.82
2013.00 72.50 48.93
2014.00 75.80 46.71
2015.00 75.80 46.35
2016.00 70.20 45.12
2017.00 65.20 43.59
