# years, casales, meansales
1970.00 265.70 121.54
1971.00 278.00 124.68
1972.00 296.20 129.32
1973.00 279.00 130.89
1974.00 269.80 133.74
1975.00 269.10 135.54
1976.00 290.50 138.75
1977.00 278.80 137.90
1978.00 269.60 137.13
1979.00 254.60 134.82
1980.00 247.80 134.88
1981.00 245.40 134.98
1982.00 239.80 133.05
1983.00 232.90 128.19
1984.00 215.10 122.25
1985.00 201.10 120.53
1986.00 195.90 117.62
1987.00 195.10 114.73
1988.00 180.40 110.52
1989.00 172.90 106.65
1990.00 152.40 102.36
1991.00 144.80 100.11
1992.00 143.70 98.94
1993.00 148.90 97.47
1994.00 153.80 96.03
1995.00 158.50 95.94
1996.00 158.00 93.92
1997.00 174.40 93.45
1998.00 173.80 92.07
1999.00 171.70 88.92
2000.00 147.30 83.80
2001.00 136.10 80.94
2002.00 131.60 79.20
2003.00 146.20 77.82
2004.00 148.40 72.76
2005.00 138.60 71.47
2006.00 135.50 69.60
2007.00 131.60 67.54
2008.00 113.50 62.99
2009.00 116.60 59.88
2010.00 97.10 54.26
2011.00 92.90 52.54
2012.00 93.90 50.82
2013.00 89.60 48.93
2014.00 90.60 46.71
2015.00 89.60 46.35
2016.00 91.50 45.12
2017.00 87.30 43.59
