# years, casales, meansales
1970.00 120.70 121.54
1971.00 125.10 124.68
1972.00 128.40 129.32
1973.00 120.20 130.89
1974.00 121.40 133.74
1975.00 122.30 135.54
1976.00 122.40 138.75
1977.00 122.80 137.90
1978.00 123.90 137.13
1979.00 123.80 134.82
1980.00 124.30 134.88
1981.00 127.90 134.98
1982.00 126.30 133.05
1983.00 121.30 128.19
1984.00 117.80 122.25
1985.00 116.90 120.53
1986.00 115.50 117.62
1987.00 111.60 114.73
1988.00 107.80 110.52
1989.00 103.00 106.65
1990.00 98.60 102.36
1991.00 86.70 100.11
1992.00 86.60 98.94
1993.00 82.90 97.47
1994.00 81.60 96.03
1995.00 81.00 95.94
1996.00 79.10 93.92
1997.00 77.00 93.45
1998.00 72.60 92.07
1999.00 63.60 88.92
2000.00 60.10 83.80
2001.00 57.70 80.94
2002.00 58.40 79.20
2003.00 48.10 77.82
2004.00 43.00 72.76
2005.00 37.50 71.47
2006.00 37.70 69.60
2007.00 34.20 67.54
2008.00 34.20 62.99
2009.00 32.60 59.88
2010.00 31.10 54.26
2011.00 32.50 52.54
2012.00 31.60 50.82
2013.00 30.60 48.93
2014.00 29.30 46.71
2015.00 28.30 46.35
2016.00 28.10 45.12
2017.00 27.30 43.59
