# years, casales, meansales
1970.00 123.90 121.54
1971.00 123.20 124.68
1972.00 134.40 129.32
1973.00 142.00 130.89
1974.00 146.10 133.74
1975.00 154.70 135.54
1976.00 150.20 138.75
1977.00 148.80 137.90
1978.00 146.80 137.13
1979.00 145.80 134.82
1980.00 149.30 134.88
1981.00 151.20 134.98
1982.00 146.30 133.05
1983.00 135.80 128.19
1984.00 136.90 122.25
1985.00 133.40 120.53
1986.00 136.30 117.62
1987.00 124.40 114.73
1988.00 138.00 110.52
1989.00 120.80 106.65
1990.00 101.40 102.36
1991.00 103.60 100.11
1992.00 100.10 98.94
1993.00 94.10 97.47
1994.00 91.90 96.03
1995.00 90.80 95.94
1996.00 87.50 93.92
1997.00 90.00 93.45
1998.00 88.70 92.07
1999.00 86.90 88.92
2000.00 83.10 83.80
2001.00 79.50 80.94
2002.00 74.70 79.20
2003.00 67.30 77.82
2004.00 61.10 72.76
2005.00 49.40 71.47
2006.00 47.30 69.60
2007.00 45.30 67.54
2008.00 43.60 62.99
2009.00 44.70 59.88
2010.00 37.10 54.26
2011.00 36.30 52.54
2012.00 35.80 50.82
2013.00 35.30 48.93
2014.00 36.70 46.71
2015.00 36.80 46.35
2016.00 35.20 45.12
2017.00 34.20 43.59
