# years, casales, meansales
1970.00 114.50 121.54
1971.00 111.50 124.68
1972.00 117.50 129.32
1973.00 116.60 130.89
1974.00 119.90 133.74
1975.00 123.20 135.54
1976.00 129.70 138.75
1977.00 133.90 137.90
1978.00 131.60 137.13
1979.00 122.10 134.82
1980.00 122.30 134.88
1981.00 120.50 134.98
1982.00 119.80 133.05
1983.00 115.70 128.19
1984.00 111.90 122.25
1985.00 109.10 120.53
1986.00 112.10 117.62
1987.00 107.50 114.73
1988.00 109.10 110.52
1989.00 104.00 106.65
1990.00 104.10 102.36
1991.00 100.10 100.11
1992.00 98.00 98.94
1993.00 111.00 97.47
1994.00 104.20 96.03
1995.00 115.80 95.94
1996.00 112.70 93.92
1997.00 114.50 93.45
1998.00 114.60 92.07
1999.00 112.40 88.92
2000.00 107.90 83.80
2001.00 109.40 80.94
2002.00 110.70 79.20
2003.00 122.20 77.82
2004.00 104.00 72.76
2005.00 102.40 71.47
2006.00 112.20 69.60
2007.00 110.50 67.54
2008.00 112.80 62.99
2009.00 115.80 59.88
2010.00 113.00 54.26
2011.00 107.90 52.54
2012.00 105.00 50.82
2013.00 103.10 48.93
2014.00 97.40 46.71
2015.00 97.30 46.35
2016.00 95.50 45.12
2017.00 82.20 43.59
