DATE,HIPCPI
1950-01-01,1580.0
1951-01-01,1839.0
1952-01-01,2056.0
1953-01-01,2114.0
1954-01-01,2110.0
1955-01-01,2105.0
1956-01-01,2130.0
1957-01-01,2161.0
1958-01-01,2121.0
1959-01-01,2290.0
1960-01-01,2516.0
1961-01-01,2661.0
1962-01-01,2750.0
1963-01-01,2949.0
1964-01-01,3125.0
1965-01-01,3412.0
1966-01-01,3674.0
1967-01-01,3915.0
1968-01-01,4338.0
1969-01-01,4903.0
1970-01-01,5538.0
1971-01-01,5791.0
1972-01-01,6170.0
1973-01-01,6643.0
1974-01-01,7412.0
1975-01-01,7907.0
1976-01-01,8367.0
1977-01-01,8828.0
1978-01-01,9640.0
1979-01-01,10571.0
1980-01-01,11867.0
1981-01-01,12711.0
1982-01-01,13249.0
1983-01-01,14262.0
1984-01-01,15052.0
1985-01-01,15824.0
1986-01-01,16599.0
1987-01-01,17435.0
1988-01-01,18964.0
1989-01-01,20897.0
1990-01-01,22433.0
1991-01-01,23253.0
1992-01-01,24542.0
1993-01-01,25133.0
1994-01-01,25400.0
1995-01-01,25788.0
1996-01-01,25665.0
1997-01-01,26334.0
1998-01-01,26911
1999-01-01,27980
2000-01-01,29544
2001-01-01,30470
2002-01-01,31471
2003-01-01,32652
2004-01-01,34592
2005-01-01,36635
2006-01-01,38766
2007-01-01,40679
2008-01-01,42160
2009-01-01,41593
2010-01-01,41869
2011-01-01,43475
2012-01-01,44828
2013-01-01,44995
2014-01-01,47188
2015-01-01,49304
2016-01-01,50851
2017-01-01,52787
