DATE,MAPCPI
1929-01-01,911
1930-01-01,842
1931-01-01,766
1932-01-01,622
1933-01-01,568
1934-01-01,618
1935-01-01,653
1936-01-01,725
1937-01-01,742
1938-01-01,683
1939-01-01,736
1940-01-01,793
1941-01-01,921
1942-01-01,1102
1943-01-01,1296
1944-01-01,1330
1945-01-01,1382
1946-01-01,1422
1947-01-01,1458
1948-01-01,1532
1949-01-01,1498
1950-01-01,1685.0
1951-01-01,1857.0
1952-01-01,1944.0
1953-01-01,1994.0
1954-01-01,1973.0
1955-01-01,2116.0
1956-01-01,2241.0
1957-01-01,2350.0
1958-01-01,2362.0
1959-01-01,2468.0
1960-01-01,2548.0
1961-01-01,2647.0
1962-01-01,2773.0
1963-01-01,2845.0
1964-01-01,2980.0
1965-01-01,3148.0
1966-01-01,3369.0
1967-01-01,3622.0
1968-01-01,3938.0
1969-01-01,4255.0
1970-01-01,4552.0
1971-01-01,4834.0
1972-01-01,5203.0
1973-01-01,5632.0
1974-01-01,6090.0
1975-01-01,6560.0
1976-01-01,7078.0
1977-01-01,7712.0
1978-01-01,8522.0
1979-01-01,9481.0
1980-01-01,10684.0
1981-01-01,11873.0
1982-01-01,13013.0
1983-01-01,14044.0
1984-01-01,15739.0
1985-01-01,16893.0
1986-01-01,18152.0
1987-01-01,19552.0
1988-01-01,21358.0
1989-01-01,22477.0
1990-01-01,23118.0
1991-01-01,23486.0
1992-01-01,24628.0
1993-01-01,25471.0
1994-01-01,26607.0
1995-01-01,27964.0
1996-01-01,29545.0
1997-01-01,31180.0
1998-01-01,32964
1999-01-01,34959
2000-01-01,38577
2001-01-01,39888
2002-01-01,39621
2003-01-01,40453
2004-01-01,42637
2005-01-01,44609
2006-01-01,48012
2007-01-01,50254
2008-01-01,51859
2009-01-01,50962
2010-01-01,53073
2011-01-01,55281
2012-01-01,57353
2013-01-01,57418
2014-01-01,59943
2015-01-01,63522
2016-01-01,65186
2017-01-01,67630
