DATE,PAPCPI
1929-01-01,776
1930-01-01,717
1931-01-01,605
1932-01-01,455
1933-01-01,423
1934-01-01,487
1935-01-01,524
1936-01-01,608
1937-01-01,643
1938-01-01,570
1939-01-01,609
1940-01-01,659
1941-01-01,786
1942-01-01,965
1943-01-01,1169
1944-01-01,1272
1945-01-01,1305
1946-01-01,1305
1947-01-01,1378
1948-01-01,1437
1949-01-01,1403
1950-01-01,1552.0
1951-01-01,1719.0
1952-01-01,1797.0
1953-01-01,1903.0
1954-01-01,1835.0
1955-01-01,1923.0
1956-01-01,2071.0
1957-01-01,2184.0
1958-01-01,2175.0
1959-01-01,2247.0
1960-01-01,2305.0
1961-01-01,2342.0
1962-01-01,2452.0
1963-01-01,2530.0
1964-01-01,2684.0
1965-01-01,2854.0
1966-01-01,3066.0
1967-01-01,3279.0
1968-01-01,3546.0
1969-01-01,3862.0
1970-01-01,4135.0
1971-01-01,4362.0
1972-01-01,4753.0
1973-01-01,5219.0
1974-01-01,5743.0
1975-01-01,6259.0
1976-01-01,6838.0
1977-01-01,7505.0
1978-01-01,8283.0
1979-01-01,9155.0
1980-01-01,10034.0
1981-01-01,11088.0
1982-01-01,11859.0
1983-01-01,12433.0
1984-01-01,13455.0
1985-01-01,14308.0
1986-01-01,15031.0
1987-01-01,15885.0
1988-01-01,17150.0
1989-01-01,18543.0
1990-01-01,19566.0
1991-01-01,20244.0
1992-01-01,21250.0
1993-01-01,21930.0
1994-01-01,22616.0
1995-01-01,23583.0
1996-01-01,24743.0
1997-01-01,25967.0
1998-01-01,27411
1999-01-01,28527
2000-01-01,30479
2001-01-01,31602
2002-01-01,32129
2003-01-01,33104
2004-01-01,34922
2005-01-01,36296
2006-01-01,38115
2007-01-01,40314
2008-01-01,41575
2009-01-01,40398
2010-01-01,41997
2011-01-01,44152
2012-01-01,45982
2013-01-01,46341
2014-01-01,48310
2015-01-01,50240
2016-01-01,51393
2017-01-01,53300
