# year, synthetic, actual
1.970000000000000000e+03 1.209027037749419549e+02 1.213000030517578125e+02
1.971000000000000000e+03 1.246324324736724378e+02 1.230000000000000000e+02
1.972000000000000000e+03 1.299378385801573472e+02 1.300000000000000000e+02
1.973000000000000000e+03 1.323135132660736986e+02 1.258000030517578125e+02
1.974000000000000000e+03 1.353837834951040122e+02 1.303999938964843750e+02
1.975000000000000000e+03 1.376135136372334387e+02 1.503999938964843750e+02
1.976000000000000000e+03 1.419378377553579185e+02 1.648000030517578125e+02
1.977000000000000000e+03 1.417621610486829695e+02 1.593000030517578125e+02
1.978000000000000000e+03 1.409459459459459651e+02 1.436000061035156250e+02
1.979000000000000000e+03 1.385378380852776843e+02 1.381000061035156250e+02
1.980000000000000000e+03 1.384918920156118247e+02 1.340000000000000000e+02
1.981000000000000000e+03 1.384837834126240637e+02 1.440000000000000000e+02
1.982000000000000000e+03 1.367594592120196353e+02 1.483000030517578125e+02
1.983000000000000000e+03 1.316513519287109659e+02 1.468999938964843750e+02
1.984000000000000000e+03 1.252243244068042856e+02 1.336000061035156250e+02
1.985000000000000000e+03 1.233486484836887485e+02 1.288999938964843750e+02
1.986000000000000000e+03 1.201540541777739719e+02 1.263000030517578125e+02
1.987000000000000000e+03 1.176837842786634383e+02 1.104000015258789062e+02
1.988000000000000000e+03 1.138702697753906250e+02 8.000000000000000000e+01
1.989000000000000000e+03 1.097729733441327085e+02 9.440000152587890625e+01
1.990000000000000000e+03 1.055891894778689988e+02 1.001999969482421875e+02
1.991000000000000000e+03 1.042621618734823699e+02 1.018000030517578125e+02
1.992000000000000000e+03 1.032540540952940518e+02 9.850000000000000000e+01
1.993000000000000000e+03 1.025378373635781912e+02 9.519999694824218750e+01
1.994000000000000000e+03 1.019864863833865627e+02 9.409999847412109375e+01
1.995000000000000000e+03 1.031891889829893501e+02 8.950000000000000000e+01
1.996000000000000000e+03 1.011783783371384118e+02 8.990000152587890625e+01
1.997000000000000000e+03 1.017054054672653933e+02 8.169999694824218750e+01
1.998000000000000000e+03 1.007243236851048209e+02 7.859999847412109375e+01
1.999000000000000000e+03 9.752702733632681031e+01 7.050000000000000000e+01
2.000000000000000000e+03 9.201621638117609336e+01 6.600000000000000000e+01
2.001000000000000000e+03 8.913783779659787854e+01 6.519999694824218750e+01
2.002000000000000000e+03 8.711891885705898630e+01 6.370000076293945312e+01
2.003000000000000000e+03 8.683513424847578221e+01 6.359999847412109375e+01
2.004000000000000000e+03 8.089999946388040541e+01 6.359999847412109375e+01
2.005000000000000000e+03 7.994594625524570120e+01 6.020000076293945312e+01
2.006000000000000000e+03 7.747567573753563863e+01 5.450000000000000000e+01
2.007000000000000000e+03 7.539729711171743531e+01 5.290000152587890625e+01
2.008000000000000000e+03 6.995675638559701781e+01 4.700000000000000000e+01
2.009000000000000000e+03 6.684594597687593875e+01 4.579999923706054688e+01
2.010000000000000000e+03 6.077837825465847033e+01 4.379999923706054688e+01
2.011000000000000000e+03 5.873243218499259655e+01 4.329999923706054688e+01
2.012000000000000000e+03 5.697837870829813767e+01 4.120000076293945312e+01
2.013000000000000000e+03 5.495675654024691426e+01 3.900000000000000000e+01
2.014000000000000000e+03 5.258108113263103434e+01 3.720000076293945312e+01
2.015000000000000000e+03 5.227837851240828115e+01 3.579999923706054688e+01
2.016000000000000000e+03 5.074864866926863272e+01 3.559999847412109375e+01
2.017000000000000000e+03 4.909189162383208327e+01 3.290000152587890625e+01
