# year, synthetic, actual
1.970000000000000000e+03 1.005537966556639020e+02 1.003000030517578125e+02
1.971000000000000000e+03 1.065304320516119390e+02 1.040999984741210938e+02
1.972000000000000000e+03 1.110222371878031424e+02 1.039000015258789062e+02
1.973000000000000000e+03 1.096914865579253444e+02 1.080000000000000000e+02
1.974000000000000000e+03 1.146832653874665624e+02 1.096999969482421875e+02
1.975000000000000000e+03 1.171105128671011073e+02 1.148000030517578125e+02
1.976000000000000000e+03 1.215454657309027482e+02 1.190999984741210938e+02
1.977000000000000000e+03 1.244276295888121240e+02 1.225999984741210938e+02
1.978000000000000000e+03 1.270839335626718025e+02 1.273000030517578125e+02
1.979000000000000000e+03 1.269700689759317811e+02 1.265000000000000000e+02
1.980000000000000000e+03 1.301629787729812904e+02 1.318000030517578125e+02
1.981000000000000000e+03 1.289506552970555333e+02 1.286999969482421875e+02
1.982000000000000000e+03 1.312211409243523974e+02 1.274000015258789062e+02
1.983000000000000000e+03 1.285081356228095615e+02 1.280000000000000000e+02
1.984000000000000000e+03 1.239329641727064484e+02 1.230999984741210938e+02
1.985000000000000000e+03 1.268967934219384546e+02 1.258000030517578125e+02
1.986000000000000000e+03 1.085270085320886579e+02 1.260000000000000000e+02
1.987000000000000000e+03 1.272590557666558198e+02 1.223000030517578125e+02
1.988000000000000000e+03 1.214274685645838474e+02 1.215000000000000000e+02
1.989000000000000000e+03 1.206551699517529386e+02 1.183000030517578125e+02
1.990000000000000000e+03 1.169853741499218245e+02 1.130999984741210938e+02
1.991000000000000000e+03 1.151744611754370879e+02 1.168000030517578125e+02
1.992000000000000000e+03 1.152190046488783537e+02 1.260000000000000000e+02
1.993000000000000000e+03 1.155730806497437584e+02 1.138000030517578125e+02
1.994000000000000000e+03 1.135133275977469083e+02 1.088000030517578125e+02
1.995000000000000000e+03 1.187802438551884592e+02 1.130000000000000000e+02
1.996000000000000000e+03 1.133187307193034457e+02 1.106999969482421875e+02
1.997000000000000000e+03 1.128099001802015664e+02 1.086999969482421875e+02
1.998000000000000000e+03 1.135431999883233942e+02 1.095000000000000000e+02
1.999000000000000000e+03 1.094658029693372612e+02 1.048000030517578125e+02
2.000000000000000000e+03 1.034768594121513559e+02 9.940000152587890625e+01
2.001000000000000000e+03 9.802936456898086703e+01 1.016999969482421875e+02
2.002000000000000000e+03 9.745977718644105892e+01 8.719999694824218750e+01
2.003000000000000000e+03 8.865957402663356390e+01 9.159999847412109375e+01
2.004000000000000000e+03 9.112558692187087672e+01 7.980000305175781250e+01
2.005000000000000000e+03 9.150747885429922235e+01 8.209999847412109375e+01
2.006000000000000000e+03 9.284698045314134163e+01 8.140000152587890625e+01
2.007000000000000000e+03 9.976620009786122978e+01 7.840000152587890625e+01
2.008000000000000000e+03 6.612214903528909815e+01 7.700000000000000000e+01
2.009000000000000000e+03 7.242773582424686651e+01 7.259999847412109375e+01
2.010000000000000000e+03 6.807541209820938377e+01 6.320000076293945312e+01
2.011000000000000000e+03 6.734531774720933583e+01 6.109999847412109375e+01
2.012000000000000000e+03 6.413538123981946626e+01 6.050000000000000000e+01
2.013000000000000000e+03 6.224148697232011074e+01 5.750000000000000000e+01
2.014000000000000000e+03 5.878678570167765827e+01 5.440000152587890625e+01
2.015000000000000000e+03 5.845316923014932797e+01 5.400000000000000000e+01
2.016000000000000000e+03 5.779958458764934903e+01 5.420000076293945312e+01
2.017000000000000000e+03 5.559767123731527505e+01 5.240000152587890625e+01
