# year, synthetic, actual
1.970000000000000000e+03 1.072196612823707653e+02 1.151999969482421875e+02
1.971000000000000000e+03 1.105032152014356086e+02 1.095999984741210938e+02
1.972000000000000000e+03 1.139177803458546947e+02 1.250000000000000000e+02
1.973000000000000000e+03 1.160560723448243436e+02 1.283000030517578125e+02
1.974000000000000000e+03 1.192260486286233316e+02 1.331000061035156250e+02
1.975000000000000000e+03 1.217999633970686943e+02 1.218000030517578125e+02
1.976000000000000000e+03 1.262558981986634734e+02 1.223000030517578125e+02
1.977000000000000000e+03 1.271016092948360523e+02 1.216999969482421875e+02
1.978000000000000000e+03 1.276596945482756524e+02 1.246999969482421875e+02
1.979000000000000000e+03 1.262359312744827520e+02 1.245999984741210938e+02
1.980000000000000000e+03 1.268000131014612037e+02 1.268000030517578125e+02
1.981000000000000000e+03 1.272203671838696124e+02 1.138000030517578125e+02
1.982000000000000000e+03 1.259841882180400177e+02 1.135000000000000000e+02
1.983000000000000000e+03 1.215083159582533057e+02 1.110999984741210938e+02
1.984000000000000000e+03 1.153278901362923108e+02 1.070999984741210938e+02
1.985000000000000000e+03 1.140489204986480303e+02 1.070999984741210938e+02
1.986000000000000000e+03 1.112167640631828789e+02 1.079000015258789062e+02
1.987000000000000000e+03 1.081690045971242142e+02 1.060999984741210938e+02
1.988000000000000000e+03 1.022000243950069631e+02 1.021999969482421875e+02
1.989000000000000000e+03 9.955391544640723112e+01 9.680000305175781250e+01
1.990000000000000000e+03 9.487214076215438752e+01 8.890000152587890625e+01
1.991000000000000000e+03 9.440206427400531197e+01 8.119999694824218750e+01
1.992000000000000000e+03 9.450905719545694694e+01 7.900000000000000000e+01
1.993000000000000000e+03 9.339729279407137597e+01 8.030000305175781250e+01
1.994000000000000000e+03 9.271756638143692442e+01 7.900000000000000000e+01
1.995000000000000000e+03 9.282293515131901529e+01 7.730000305175781250e+01
1.996000000000000000e+03 9.138956632329272622e+01 7.140000152587890625e+01
1.997000000000000000e+03 9.129869878524421267e+01 6.459999847412109375e+01
1.998000000000000000e+03 8.902187800295146758e+01 6.600000000000000000e+01
1.999000000000000000e+03 8.600218924673330889e+01 6.170000076293945312e+01
2.000000000000000000e+03 8.197828728106993879e+01 5.850000000000000000e+01
2.001000000000000000e+03 7.909736273186373978e+01 5.409999847412109375e+01
2.002000000000000000e+03 7.641309729080657576e+01 5.200000000000000000e+01
2.003000000000000000e+03 7.539444164326492626e+01 4.820000076293945312e+01
2.004000000000000000e+03 6.987807411028214233e+01 4.250000000000000000e+01
2.005000000000000000e+03 6.956819667820390407e+01 4.229999923706054688e+01
2.006000000000000000e+03 6.761742966742188798e+01 4.220000076293945312e+01
2.007000000000000000e+03 6.546245216380435750e+01 3.750000000000000000e+01
2.008000000000000000e+03 6.151489638507278812e+01 3.179999923706054688e+01
2.009000000000000000e+03 5.840684906679197752e+01 2.860000038146972656e+01
2.010000000000000000e+03 5.315573165729520611e+01 2.479999923706054688e+01
2.011000000000000000e+03 5.149010398636841757e+01 2.710000038146972656e+01
2.012000000000000000e+03 5.003348059704961059e+01 2.500000000000000000e+01
2.013000000000000000e+03 4.820045640094808448e+01 2.439999961853027344e+01
2.014000000000000000e+03 4.572187809885635801e+01 2.300000000000000000e+01
2.015000000000000000e+03 4.568397576552230532e+01 2.300000000000000000e+01
2.016000000000000000e+03 4.414488075170448411e+01 2.310000038146972656e+01
2.017000000000000000e+03 4.272578422199993753e+01 2.250000000000000000e+01
