# year, synthetic, actual
1.970000000000000000e+03 1.114998429785896121e+02 1.248000030517578125e+02
1.971000000000000000e+03 1.153935343317986053e+02 1.255000000000000000e+02
1.972000000000000000e+03 1.203952210355369061e+02 1.343000030517578125e+02
1.973000000000000000e+03 1.213480408966355668e+02 1.378999938964843750e+02
1.974000000000000000e+03 1.250304278253901202e+02 1.328000030517578125e+02
1.975000000000000000e+03 1.309999135170230886e+02 1.310000000000000000e+02
1.976000000000000000e+03 1.379079718055930357e+02 1.341999969482421875e+02
1.977000000000000000e+03 1.368339240175851330e+02 1.320000000000000000e+02
1.978000000000000000e+03 1.342385555390396519e+02 1.291999969482421875e+02
1.979000000000000000e+03 1.317223900490467088e+02 1.315000000000000000e+02
1.980000000000000000e+03 1.310000015103364035e+02 1.310000000000000000e+02
1.981000000000000000e+03 1.334136548670171010e+02 1.338000030517578125e+02
1.982000000000000000e+03 1.342273202078260965e+02 1.305000000000000000e+02
1.983000000000000000e+03 1.288988875095300841e+02 1.253000030517578125e+02
1.984000000000000000e+03 1.196456610665784837e+02 1.196999969482421875e+02
1.985000000000000000e+03 1.166350669895727066e+02 1.124000015258789062e+02
1.986000000000000000e+03 1.135295542224596517e+02 1.099000015258789062e+02
1.987000000000000000e+03 1.068686693993712424e+02 1.024000015258789062e+02
1.988000000000000000e+03 9.460003718274384710e+01 9.459999847412109375e+01
1.989000000000000000e+03 9.491656840349517665e+01 8.880000305175781250e+01
1.990000000000000000e+03 9.104946728031647751e+01 8.740000152587890625e+01
1.991000000000000000e+03 9.070621923677366283e+01 9.019999694824218750e+01
1.992000000000000000e+03 8.844848508974845913e+01 8.830000305175781250e+01
1.993000000000000000e+03 8.924186993076662588e+01 8.859999847412109375e+01
1.994000000000000000e+03 9.039109348133560218e+01 8.909999847412109375e+01
1.995000000000000000e+03 8.941781984978911169e+01 8.540000152587890625e+01
1.996000000000000000e+03 8.942245844539328914e+01 8.309999847412109375e+01
1.997000000000000000e+03 8.779570063292604232e+01 8.130000305175781250e+01
1.998000000000000000e+03 8.558244260666614878e+01 8.119999694824218750e+01
1.999000000000000000e+03 8.167055110310693067e+01 7.959999847412109375e+01
2.000000000000000000e+03 7.853106497219017967e+01 7.300000000000000000e+01
2.001000000000000000e+03 7.458068150347827441e+01 7.040000152587890625e+01
2.002000000000000000e+03 7.306754458979835931e+01 6.619999694824218750e+01
2.003000000000000000e+03 7.243035132432952139e+01 6.379999923706054688e+01
2.004000000000000000e+03 6.955781187028787826e+01 6.070000076293945312e+01
2.005000000000000000e+03 6.853351361970507583e+01 5.790000152587890625e+01
2.006000000000000000e+03 6.496272088929399047e+01 5.309999847412109375e+01
2.007000000000000000e+03 6.358891240076484053e+01 5.109999847412109375e+01
2.008000000000000000e+03 6.006590263867059321e+01 4.840000152587890625e+01
2.009000000000000000e+03 5.706098118948560227e+01 4.600000000000000000e+01
2.010000000000000000e+03 5.242151134787793154e+01 4.140000152587890625e+01
2.011000000000000000e+03 5.182887894665212514e+01 4.059999847412109375e+01
2.012000000000000000e+03 5.069312089372812835e+01 4.059999847412109375e+01
2.013000000000000000e+03 4.901842397064394419e+01 3.829999923706054688e+01
2.014000000000000000e+03 4.686900830488252723e+01 3.670000076293945312e+01
2.015000000000000000e+03 4.689182555521866647e+01 3.629999923706054688e+01
2.016000000000000000e+03 4.438246868036205939e+01 3.579999923706054688e+01
2.017000000000000000e+03 4.290444852157116173e+01 3.450000000000000000e+01
