# year, synthetic, actual
1.970000000000000000e+03 9.398314673353648629e+01 1.200000000000000000e+02
1.971000000000000000e+03 9.871902117287918088e+01 1.175999984741210938e+02
1.972000000000000000e+03 1.030120868770388114e+02 1.108000030517578125e+02
1.973000000000000000e+03 1.027856914506294288e+02 1.093000030517578125e+02
1.974000000000000000e+03 1.068670748569993521e+02 1.124000015258789062e+02
1.975000000000000000e+03 1.101999592802012131e+02 1.101999969482421875e+02
1.976000000000000000e+03 1.145593731983937289e+02 1.134000015258789062e+02
1.977000000000000000e+03 1.164770624978288396e+02 1.173000030517578125e+02
1.978000000000000000e+03 1.175675479825516589e+02 1.175000000000000000e+02
1.979000000000000000e+03 1.168913538021509027e+02 1.174000015258789062e+02
1.980000000000000000e+03 1.179999849165187271e+02 1.180000000000000000e+02
1.981000000000000000e+03 1.181472256217552683e+02 1.164000015258789062e+02
1.982000000000000000e+03 1.185476962308433855e+02 1.146999969482421875e+02
1.983000000000000000e+03 1.158926792065804818e+02 1.140999984741210938e+02
1.984000000000000000e+03 1.114008460619193102e+02 1.125000000000000000e+02
1.985000000000000000e+03 1.133674439467020534e+02 1.110000000000000000e+02
1.986000000000000000e+03 1.014794428186502273e+02 1.085000000000000000e+02
1.987000000000000000e+03 1.128301166194423928e+02 1.090000000000000000e+02
1.988000000000000000e+03 1.048000098868414796e+02 1.048000030517578125e+02
1.989000000000000000e+03 1.052719010396364467e+02 1.005999984741210938e+02
1.990000000000000000e+03 1.022361232494786236e+02 9.150000000000000000e+01
1.991000000000000000e+03 1.019331836065737491e+02 8.669999694824218750e+01
1.992000000000000000e+03 1.032997027310339178e+02 8.359999847412109375e+01
1.993000000000000000e+03 1.019255791912705291e+02 7.909999847412109375e+01
1.994000000000000000e+03 9.994610145281332336e+01 7.659999847412109375e+01
1.995000000000000000e+03 1.028241038743044840e+02 7.930000305175781250e+01
1.996000000000000000e+03 9.969428190878562646e+01 7.600000000000000000e+01
1.997000000000000000e+03 9.945620293659736433e+01 7.590000152587890625e+01
1.998000000000000000e+03 9.631852274090098831e+01 7.550000000000000000e+01
1.999000000000000000e+03 9.334238000579537697e+01 7.340000152587890625e+01
2.000000000000000000e+03 8.776414375546980295e+01 7.140000152587890625e+01
2.001000000000000000e+03 8.444468585719201315e+01 6.869999694824218750e+01
2.002000000000000000e+03 8.277794278504305225e+01 6.640000152587890625e+01
2.003000000000000000e+03 7.681859447137021846e+01 5.970000076293945312e+01
2.004000000000000000e+03 7.644724697138686054e+01 5.309999847412109375e+01
2.005000000000000000e+03 7.657263916400700055e+01 4.990000152587890625e+01
2.006000000000000000e+03 7.725098489985600736e+01 5.090000152587890625e+01
2.007000000000000000e+03 8.093604329019358090e+01 5.050000000000000000e+01
2.008000000000000000e+03 5.931515083507376573e+01 4.740000152587890625e+01
2.009000000000000000e+03 6.178608310427828343e+01 4.590000152587890625e+01
2.010000000000000000e+03 5.773558087669869110e+01 4.079999923706054688e+01
2.011000000000000000e+03 5.590127398407111059e+01 3.629999923706054688e+01
2.012000000000000000e+03 5.395180598648146741e+01 3.350000000000000000e+01
2.013000000000000000e+03 5.192516328340544618e+01 3.139999961853027344e+01
2.014000000000000000e+03 4.895966270495377159e+01 3.010000038146972656e+01
2.015000000000000000e+03 4.873069408598378516e+01 2.860000038146972656e+01
2.016000000000000000e+03 4.798580250247463397e+01 2.829999923706054688e+01
2.017000000000000000e+03 4.625474861635748880e+01 2.650000000000000000e+01
