# year, synthetic, actual
1.970000000000000000e+03 1.177631106471299347e+02 1.550000000000000000e+02
1.971000000000000000e+03 1.218669784669509966e+02 1.611000061035156250e+02
1.972000000000000000e+03 1.308526917977077062e+02 1.563000030517578125e+02
1.973000000000000000e+03 1.362205197776083594e+02 1.546999969482421875e+02
1.974000000000000000e+03 1.416981452807580695e+02 1.513000030517578125e+02
1.975000000000000000e+03 1.476000840930356048e+02 1.476000061035156250e+02
1.976000000000000000e+03 1.493195805307366868e+02 1.530000000000000000e+02
1.977000000000000000e+03 1.499241871559730157e+02 1.533000030517578125e+02
1.978000000000000000e+03 1.496834165499669211e+02 1.555000000000000000e+02
1.979000000000000000e+03 1.477144673833294064e+02 1.501999969482421875e+02
1.980000000000000000e+03 1.505000665954233057e+02 1.505000000000000000e+02
1.981000000000000000e+03 1.496730747468408254e+02 1.526000061035156250e+02
1.982000000000000000e+03 1.490919166950237980e+02 1.541000061035156250e+02
1.983000000000000000e+03 1.426770794266747373e+02 1.496000061035156250e+02
1.984000000000000000e+03 1.383755245283324484e+02 1.440000000000000000e+02
1.985000000000000000e+03 1.386383300437919672e+02 1.445000000000000000e+02
1.986000000000000000e+03 1.296743704937851476e+02 1.423999938964843750e+02
1.987000000000000000e+03 1.345260611767753289e+02 1.410000000000000000e+02
1.988000000000000000e+03 1.371002866659285644e+02 1.371000061035156250e+02
1.989000000000000000e+03 1.303182346845927668e+02 1.316999969482421875e+02
1.990000000000000000e+03 1.235747777042469124e+02 1.271999969482421875e+02
1.991000000000000000e+03 1.219718589488252007e+02 1.188000030517578125e+02
1.992000000000000000e+03 1.204194646363270920e+02 1.200000000000000000e+02
1.993000000000000000e+03 1.181372817122229719e+02 1.238000030517578125e+02
1.994000000000000000e+03 1.167610398318020088e+02 1.260999984741210938e+02
1.995000000000000000e+03 1.202127361709730877e+02 1.271999969482421875e+02
1.996000000000000000e+03 1.167377809554403854e+02 1.283000030517578125e+02
1.997000000000000000e+03 1.186980548061725500e+02 1.240999984741210938e+02
1.998000000000000000e+03 1.162249686318493929e+02 1.328000030517578125e+02
1.999000000000000000e+03 1.127374793003866955e+02 1.395000000000000000e+02
2.000000000000000000e+03 1.065094705500602288e+02 1.406999969482421875e+02
2.001000000000000000e+03 1.021913413064215064e+02 1.413999938964843750e+02
2.002000000000000000e+03 9.849582910717107609e+01 1.423999938964843750e+02
2.003000000000000000e+03 9.645650022199332341e+01 1.841999969482421875e+02
2.004000000000000000e+03 9.533608702897403475e+01 1.760000000000000000e+02
2.005000000000000000e+03 9.251763562259152707e+01 1.788000030517578125e+02
2.006000000000000000e+03 8.689772539704109988e+01 1.836000061035156250e+02
2.007000000000000000e+03 8.956789691101607787e+01 1.851999969482421875e+02
2.008000000000000000e+03 7.136001074782222986e+01 1.333000030517578125e+02
2.009000000000000000e+03 7.275008296221530202e+01 1.228000030517578125e+02
2.010000000000000000e+03 6.544517116651083199e+01 9.500000000000000000e+01
2.011000000000000000e+03 6.360990788434991572e+01 8.759999847412109375e+01
2.012000000000000000e+03 6.127663716725714949e+01 8.490000152587890625e+01
2.013000000000000000e+03 5.905877066929230068e+01 7.709999847412109375e+01
2.014000000000000000e+03 5.716014594783980129e+01 7.119999694824218750e+01
2.015000000000000000e+03 5.629454570536055513e+01 7.009999847412109375e+01
2.016000000000000000e+03 5.581316285711295677e+01 6.809999847412109375e+01
2.017000000000000000e+03 5.409358847201468734e+01 7.259999847412109375e+01
