# year, synthetic, actual
1.970000000000000000e+03 1.148355629947445777e+02 1.235999984741210938e+02
1.971000000000000000e+03 1.195452595261065625e+02 1.230000000000000000e+02
1.972000000000000000e+03 1.242358284820854948e+02 1.260000000000000000e+02
1.973000000000000000e+03 1.254600652763436983e+02 1.326000061035156250e+02
1.974000000000000000e+03 1.290249440870979072e+02 1.360000000000000000e+02
1.975000000000000000e+03 1.319000000703496767e+02 1.318999938964843750e+02
1.976000000000000000e+03 1.368648873235685528e+02 1.303000030517578125e+02
1.977000000000000000e+03 1.380475957180094326e+02 1.331000061035156250e+02
1.978000000000000000e+03 1.386752329956250662e+02 1.333999938964843750e+02
1.979000000000000000e+03 1.371880344272860270e+02 1.353999938964843750e+02
1.980000000000000000e+03 1.390000048199296430e+02 1.390000000000000000e+02
1.981000000000000000e+03 1.382220356132397114e+02 1.328000030517578125e+02
1.982000000000000000e+03 1.383337393796166737e+02 1.318000030517578125e+02
1.983000000000000000e+03 1.342933802802929506e+02 1.275999984741210938e+02
1.984000000000000000e+03 1.280798933933346859e+02 1.246999969482421875e+02
1.985000000000000000e+03 1.281557995381348860e+02 1.241999969482421875e+02
1.986000000000000000e+03 1.199592126637771656e+02 1.246999969482421875e+02
1.987000000000000000e+03 1.240909483892271936e+02 1.250999984741210938e+02
1.988000000000000000e+03 1.195000029641547314e+02 1.195000000000000000e+02
1.989000000000000000e+03 1.166051926306288635e+02 1.138000030517578125e+02
1.990000000000000000e+03 1.118097936737188576e+02 1.100999984741210938e+02
1.991000000000000000e+03 1.106262109073213367e+02 9.819999694824218750e+01
1.992000000000000000e+03 1.110174713654999721e+02 9.590000152587890625e+01
1.993000000000000000e+03 1.096322180876261854e+02 9.680000305175781250e+01
1.994000000000000000e+03 1.081112140121561254e+02 9.359999847412109375e+01
1.995000000000000000e+03 1.109921176182864286e+02 9.540000152587890625e+01
1.996000000000000000e+03 1.078153403891865025e+02 9.180000305175781250e+01
1.997000000000000000e+03 1.076289444325203704e+02 9.300000000000000000e+01
1.998000000000000000e+03 1.076074852100253594e+02 9.169999694824218750e+01
1.999000000000000000e+03 1.037594442667261205e+02 8.819999694824218750e+01
2.000000000000000000e+03 9.844509586387350453e+01 8.250000000000000000e+01
2.001000000000000000e+03 9.430614816423899072e+01 7.859999847412109375e+01
2.002000000000000000e+03 9.160371320941608531e+01 7.790000152587890625e+01
2.003000000000000000e+03 8.870099382439389046e+01 7.669999694824218750e+01
2.004000000000000000e+03 8.550992906570979812e+01 7.419999694824218750e+01
2.005000000000000000e+03 8.547019802513797515e+01 7.530000305175781250e+01
2.006000000000000000e+03 8.408734179765137640e+01 7.190000152587890625e+01
2.007000000000000000e+03 8.516800312142662222e+01 6.990000152587890625e+01
2.008000000000000000e+03 6.976728420136933551e+01 6.790000152587890625e+01
2.009000000000000000e+03 6.993174745742790321e+01 7.059999847412109375e+01
2.010000000000000000e+03 6.373363865489100988e+01 5.000000000000000000e+01
2.011000000000000000e+03 6.258247006108172172e+01 4.970000076293945312e+01
2.012000000000000000e+03 6.025676786927817119e+01 4.590000152587890625e+01
2.013000000000000000e+03 5.824699785995895240e+01 4.429999923706054688e+01
2.014000000000000000e+03 5.533453309269561515e+01 4.240000152587890625e+01
2.015000000000000000e+03 5.522801056691483268e+01 4.190000152587890625e+01
2.016000000000000000e+03 5.378819102193493507e+01 4.150000000000000000e+01
2.017000000000000000e+03 5.212282266455451918e+01 4.059999847412109375e+01
