# year, synthetic, actual
1.970000000000000000e+03 1.038312425285754301e+02 1.099000015258789062e+02
1.971000000000000000e+03 1.101384715383176456e+02 1.156999969482421875e+02
1.972000000000000000e+03 1.156388151838485925e+02 1.170000000000000000e+02
1.973000000000000000e+03 1.150689709525728119e+02 1.198000030517578125e+02
1.974000000000000000e+03 1.202005674999546869e+02 1.236999969482421875e+02
1.975000000000000000e+03 1.228999907391087163e+02 1.229000015258789062e+02
1.976000000000000000e+03 1.274284308842528475e+02 1.259000015258789062e+02
1.977000000000000000e+03 1.300589431220605832e+02 1.279000015258789062e+02
1.978000000000000000e+03 1.318938475092898273e+02 1.306000061035156250e+02
1.979000000000000000e+03 1.312970498610880554e+02 1.310000000000000000e+02
1.980000000000000000e+03 1.339999766872346640e+02 1.340000000000000000e+02
1.981000000000000000e+03 1.328621958881830665e+02 1.316999969482421875e+02
1.982000000000000000e+03 1.349873074884893072e+02 1.311999969482421875e+02
1.983000000000000000e+03 1.319078667677720489e+02 1.286000061035156250e+02
1.984000000000000000e+03 1.268482870170471841e+02 1.263000030517578125e+02
1.985000000000000000e+03 1.294251797751376216e+02 1.288000030517578125e+02
1.986000000000000000e+03 1.117547140309663973e+02 1.290000000000000000e+02
1.987000000000000000e+03 1.295302918261202194e+02 1.293000030517578125e+02
1.988000000000000000e+03 1.240999894841931592e+02 1.240999984741210938e+02
1.989000000000000000e+03 1.229818663576227777e+02 1.170999984741210938e+02
1.990000000000000000e+03 1.196276522362988999e+02 1.138000030517578125e+02
1.991000000000000000e+03 1.179161019928068868e+02 1.095999984741210938e+02
1.992000000000000000e+03 1.179540559375929973e+02 1.091999969482421875e+02
1.993000000000000000e+03 1.179679881842629072e+02 1.091999969482421875e+02
1.994000000000000000e+03 1.172111652896235228e+02 1.078000030517578125e+02
1.995000000000000000e+03 1.230989694586044152e+02 1.003000030517578125e+02
1.996000000000000000e+03 1.180729745399897581e+02 1.026999969482421875e+02
1.997000000000000000e+03 1.180332021972605787e+02 1.005999984741210938e+02
1.998000000000000000e+03 1.183412544842878447e+02 1.005000000000000000e+02
1.999000000000000000e+03 1.145302727511891021e+02 9.709999847412109375e+01
2.000000000000000000e+03 1.080036011974233503e+02 8.809999847412109375e+01
2.001000000000000000e+03 1.030018021689075169e+02 8.590000152587890625e+01
2.002000000000000000e+03 1.020666269138994835e+02 7.950000000000000000e+01
2.003000000000000000e+03 9.410071403882021457e+01 8.309999847412109375e+01
2.004000000000000000e+03 9.641087601892859027e+01 6.809999847412109375e+01
2.005000000000000000e+03 9.667576805283135855e+01 7.019999694824218750e+01
2.006000000000000000e+03 9.659495679538822799e+01 6.819999694824218750e+01
2.007000000000000000e+03 1.034161379063104675e+02 6.469999694824218750e+01
2.008000000000000000e+03 7.114303218252105410e+01 6.159999847412109375e+01
2.009000000000000000e+03 7.640908630732610618e+01 5.879999923706054688e+01
2.010000000000000000e+03 7.143503323525992244e+01 5.529999923706054688e+01
2.011000000000000000e+03 7.043456272840857935e+01 5.429999923706054688e+01
2.012000000000000000e+03 6.735489893124314165e+01 5.309999847412109375e+01
2.013000000000000000e+03 6.518436771467041524e+01 4.990000152587890625e+01
2.014000000000000000e+03 6.171780102023436854e+01 4.900000000000000000e+01
2.015000000000000000e+03 6.117088349791637114e+01 4.729999923706054688e+01
2.016000000000000000e+03 6.055631249992404719e+01 4.729999923706054688e+01
2.017000000000000000e+03 5.839805611424016263e+01 4.559999847412109375e+01
