# year, synthetic, actual
1.970000000000000000e+03 7.768813367452627006e+01 8.209999847412109375e+01
1.971000000000000000e+03 7.977891797511598782e+01 8.500000000000000000e+01
1.972000000000000000e+03 8.412156884651469113e+01 8.159999847412109375e+01
1.973000000000000000e+03 8.429838296430878586e+01 7.919999694824218750e+01
1.974000000000000000e+03 8.756970520030291993e+01 8.930000305175781250e+01
1.975000000000000000e+03 9.209453007302745675e+01 9.240000152587890625e+01
1.976000000000000000e+03 9.688116230040692756e+01 9.940000152587890625e+01
1.977000000000000000e+03 9.646139772862483142e+01 9.509999847412109375e+01
1.978000000000000000e+03 9.357922079359427414e+01 9.319999694824218750e+01
1.979000000000000000e+03 9.198709419708450241e+01 8.880000305175781250e+01
1.980000000000000000e+03 8.773078149480279819e+01 8.940000152587890625e+01
1.981000000000000000e+03 9.210344020588483716e+01 8.559999847412109375e+01
1.982000000000000000e+03 8.991637100220701484e+01 7.769999694824218750e+01
1.983000000000000000e+03 8.601533119726789778e+01 8.000000000000000000e+01
1.984000000000000000e+03 8.100002786211055650e+01 7.569999694824218750e+01
1.985000000000000000e+03 8.012973874734504420e+01 6.980000305175781250e+01
1.986000000000000000e+03 7.792052927422632536e+01 6.120000076293945312e+01
1.987000000000000000e+03 7.702675926075633583e+01 5.470000076293945312e+01
1.988000000000000000e+03 6.046063316553821210e+01 5.559999847412109375e+01
1.989000000000000000e+03 6.516910743553401630e+01 5.740000152587890625e+01
1.990000000000000000e+03 6.362230560206807439e+01 4.890000152587890625e+01
1.991000000000000000e+03 6.404994371545839726e+01 5.470000076293945312e+01
1.992000000000000000e+03 6.450150152297703698e+01 5.129999923706054688e+01
1.993000000000000000e+03 6.471858752602999232e+01 5.240000152587890625e+01
1.994000000000000000e+03 6.416568894411878432e+01 4.420000076293945312e+01
1.995000000000000000e+03 6.019094961842429115e+01 4.570000076293945312e+01
1.996000000000000000e+03 6.184146944511861221e+01 5.159999847412109375e+01
1.997000000000000000e+03 6.239510489403217264e+01 4.909999847412109375e+01
1.998000000000000000e+03 5.022883829912221643e+01 3.550000000000000000e+01
1.999000000000000000e+03 4.971011483651855656e+01 3.250000000000000000e+01
2.000000000000000000e+03 4.622616130969313275e+01 3.189999961853027344e+01
2.001000000000000000e+03 4.448827101609821710e+01 4.279999923706054688e+01
2.002000000000000000e+03 4.525483663612075702e+01 5.109999847412109375e+01
2.003000000000000000e+03 4.241932594671034451e+01 5.120000076293945312e+01
2.004000000000000000e+03 4.062170476031638344e+01 4.740000152587890625e+01
2.005000000000000000e+03 3.941011258089076819e+01 4.700000000000000000e+01
2.006000000000000000e+03 3.886850650468859669e+01 4.800000000000000000e+01
2.007000000000000000e+03 3.726850802539635055e+01 4.370000076293945312e+01
2.008000000000000000e+03 3.472927702711599807e+01 4.400000000000000000e+01
2.009000000000000000e+03 3.157534104173065614e+01 4.109999847412109375e+01
2.010000000000000000e+03 3.043507347688255749e+01 3.620000076293945312e+01
2.011000000000000000e+03 2.688693101665552376e+01 3.290000152587890625e+01
2.012000000000000000e+03 2.697534105606569810e+01 2.979999923706054688e+01
2.013000000000000000e+03 2.524428539557876050e+01 2.700000000000000000e+01
2.014000000000000000e+03 2.336612838865280040e+01 2.539999961853027344e+01
2.015000000000000000e+03 2.345111995169828845e+01 2.679999923706054688e+01
2.016000000000000000e+03 2.223507269450158930e+01 2.539999961853027344e+01
2.017000000000000000e+03 2.156716723483984310e+01 2.510000038146972656e+01
