# year, synthetic, actual
1.970000000000000000e+03 1.062535448008799221e+02 1.085000000000000000e+02
1.971000000000000000e+03 1.095269131284397872e+02 1.084000015258789062e+02
1.972000000000000000e+03 1.130985980497877108e+02 1.094000015258789062e+02
1.973000000000000000e+03 1.152107688343160419e+02 1.105999984741210938e+02
1.974000000000000000e+03 1.184396002613711829e+02 1.160999984741210938e+02
1.975000000000000000e+03 1.205001148980102954e+02 1.205000000000000000e+02
1.976000000000000000e+03 1.246801360718934575e+02 1.244000015258789062e+02
1.977000000000000000e+03 1.253845084787949133e+02 1.255000000000000000e+02
1.978000000000000000e+03 1.259864794625651570e+02 1.270999984741210938e+02
1.979000000000000000e+03 1.244191343066569857e+02 1.241999969482421875e+02
1.980000000000000000e+03 1.245999653334293811e+02 1.245999984741210938e+02
1.981000000000000000e+03 1.248129355793372213e+02 1.328999938964843750e+02
1.982000000000000000e+03 1.237771921160688464e+02 1.161999969482421875e+02
1.983000000000000000e+03 1.191653581442423331e+02 1.155999984741210938e+02
1.984000000000000000e+03 1.130066744249100026e+02 1.111999969482421875e+02
1.985000000000000000e+03 1.118872185317942041e+02 1.094000015258789062e+02
1.986000000000000000e+03 1.091885699513628936e+02 1.040999984741210938e+02
1.987000000000000000e+03 1.066898195028439034e+02 1.010999984741210938e+02
1.988000000000000000e+03 1.001998382718330447e+02 1.001999969482421875e+02
1.989000000000000000e+03 9.776132244028430307e+01 9.440000152587890625e+01
1.990000000000000000e+03 9.285802272273606661e+01 9.540000152587890625e+01
1.991000000000000000e+03 9.140043324693306204e+01 9.709999847412109375e+01
1.992000000000000000e+03 9.112709878999980617e+01 9.519999694824218750e+01
1.993000000000000000e+03 9.084710456342355656e+01 9.250000000000000000e+01
1.994000000000000000e+03 8.990128391624153892e+01 9.340000152587890625e+01
1.995000000000000000e+03 8.952079464112752305e+01 9.300000000000000000e+01
1.996000000000000000e+03 8.839152872489545132e+01 9.400000000000000000e+01
1.997000000000000000e+03 8.864841537714323749e+01 9.390000152587890625e+01
1.998000000000000000e+03 8.561935975005755495e+01 9.400000000000000000e+01
1.999000000000000000e+03 8.276312684342458681e+01 9.169999694824218750e+01
2.000000000000000000e+03 7.898342748311389983e+01 8.890000152587890625e+01
2.001000000000000000e+03 7.599789019245422139e+01 8.650000000000000000e+01
2.002000000000000000e+03 7.347326695563486965e+01 8.540000152587890625e+01
2.003000000000000000e+03 7.320722010000642399e+01 8.540000152587890625e+01
2.004000000000000000e+03 6.814633100318329184e+01 8.369999694824218750e+01
2.005000000000000000e+03 6.743715486297071493e+01 8.390000152587890625e+01
2.006000000000000000e+03 6.571958333670445995e+01 8.530000305175781250e+01
2.007000000000000000e+03 6.328604821378932854e+01 7.630000305175781250e+01
2.008000000000000000e+03 5.924960626168159905e+01 5.759999847412109375e+01
2.009000000000000000e+03 5.620441236939706187e+01 5.379999923706054688e+01
2.010000000000000000e+03 5.123696210485547198e+01 5.129999923706054688e+01
2.011000000000000000e+03 4.919828370008919194e+01 4.909999847412109375e+01
2.012000000000000000e+03 4.794392724916897208e+01 4.859999847412109375e+01
2.013000000000000000e+03 4.608614462373146381e+01 4.850000000000000000e+01
2.014000000000000000e+03 4.372785891583763629e+01 4.709999847412109375e+01
2.015000000000000000e+03 4.359175221345618212e+01 4.650000000000000000e+01
2.016000000000000000e+03 4.222436213367814872e+01 4.770000076293945312e+01
2.017000000000000000e+03 4.093159926790828251e+01 4.500000000000000000e+01
