# year, synthetic, actual
1.970000000000000000e+03 1.142869049358622675e+02 1.248000030517578125e+02
1.971000000000000000e+03 1.184989760521295494e+02 1.255999984741210938e+02
1.972000000000000000e+03 1.231848495404753265e+02 1.265999984741210938e+02
1.973000000000000000e+03 1.259004882410615807e+02 1.244000015258789062e+02
1.974000000000000000e+03 1.297127681145366864e+02 1.318999938964843750e+02
1.975000000000000000e+03 1.318000461396874812e+02 1.318000030517578125e+02
1.976000000000000000e+03 1.363419651649374771e+02 1.343999938964843750e+02
1.977000000000000000e+03 1.371104778978726415e+02 1.340000000000000000e+02
1.978000000000000000e+03 1.368732703529776984e+02 1.366999969482421875e+02
1.979000000000000000e+03 1.348996931946294922e+02 1.353000030517578125e+02
1.980000000000000000e+03 1.352000311795974881e+02 1.351999969482421875e+02
1.981000000000000000e+03 1.351921403308817560e+02 1.330000000000000000e+02
1.982000000000000000e+03 1.353277680429951886e+02 1.306999969482421875e+02
1.983000000000000000e+03 1.300122306647058963e+02 1.279000015258789062e+02
1.984000000000000000e+03 1.222698282961564615e+02 1.240000000000000000e+02
1.985000000000000000e+03 1.205848453542041625e+02 1.215999984741210938e+02
1.986000000000000000e+03 1.180294600869771813e+02 1.181999969482421875e+02
1.987000000000000000e+03 1.139941390681792512e+02 1.095000000000000000e+02
1.988000000000000000e+03 1.076000021441344785e+02 1.075999984741210938e+02
1.989000000000000000e+03 1.040476369795652118e+02 1.045999984741210938e+02
1.990000000000000000e+03 9.754436730261558353e+01 9.409999847412109375e+01
1.991000000000000000e+03 9.504817005140101571e+01 9.609999847412109375e+01
1.992000000000000000e+03 9.399310586618827301e+01 9.480000305175781250e+01
1.993000000000000000e+03 9.429672214535044361e+01 9.459999847412109375e+01
1.994000000000000000e+03 9.570297175929746913e+01 8.569999694824218750e+01
1.995000000000000000e+03 9.679579197239057464e+01 8.430000305175781250e+01
1.996000000000000000e+03 9.635287495369730948e+01 8.180000305175781250e+01
1.997000000000000000e+03 9.630384514695910525e+01 7.959999847412109375e+01
1.998000000000000000e+03 9.514818886747828230e+01 8.030000305175781250e+01
1.999000000000000000e+03 9.184393761203234874e+01 7.219999694824218750e+01
2.000000000000000000e+03 8.878008872946060137e+01 7.000000000000000000e+01
2.001000000000000000e+03 8.525153192478344977e+01 6.709999847412109375e+01
2.002000000000000000e+03 8.172446575961396320e+01 7.090000152587890625e+01
2.003000000000000000e+03 8.193705622500398533e+01 5.140000152587890625e+01
2.004000000000000000e+03 7.761071479321348932e+01 6.000000000000000000e+01
2.005000000000000000e+03 7.622007613579741303e+01 5.220000076293945312e+01
2.006000000000000000e+03 7.312458915526349301e+01 5.150000000000000000e+01
2.007000000000000000e+03 7.035407659881370535e+01 4.859999847412109375e+01
2.008000000000000000e+03 6.536739793264250409e+01 4.790000152587890625e+01
2.009000000000000000e+03 6.182967729749424990e+01 4.520000076293945312e+01
2.010000000000000000e+03 5.598495417136039265e+01 4.409999847412109375e+01
2.011000000000000000e+03 5.453761277839419819e+01 4.529999923706054688e+01
2.012000000000000000e+03 5.331775689976557686e+01 4.650000000000000000e+01
2.013000000000000000e+03 5.140265513557474009e+01 3.170000076293945312e+01
2.014000000000000000e+03 4.896675148632582619e+01 3.359999847412109375e+01
2.015000000000000000e+03 4.845678172761784452e+01 3.340000152587890625e+01
2.016000000000000000e+03 4.718640573045182407e+01 3.150000000000000000e+01
2.017000000000000000e+03 4.606825618190253380e+01 3.070000076293945312e+01
