# year, synthetic, actual
1.970000000000000000e+03 1.279743791549233549e+02 1.346000061035156250e+02
1.971000000000000000e+03 1.304102685064401896e+02 1.393000030517578125e+02
1.972000000000000000e+03 1.437793635131031351e+02 1.491999969482421875e+02
1.973000000000000000e+03 1.517482912957746066e+02 1.560000000000000000e+02
1.974000000000000000e+03 1.551486113207158439e+02 1.596000061035156250e+02
1.975000000000000000e+03 1.612575971776578854e+02 1.623999938964843750e+02
1.976000000000000000e+03 1.588828228230253217e+02 1.666000061035156250e+02
1.977000000000000000e+03 1.555272804076292630e+02 1.730000000000000000e+02
1.978000000000000000e+03 1.520155944001899968e+02 1.508999938964843750e+02
1.979000000000000000e+03 1.497436293568618169e+02 1.488999938964843750e+02
1.980000000000000000e+03 1.502363857651378112e+02 1.468999938964843750e+02
1.981000000000000000e+03 1.503136139907801407e+02 1.485000000000000000e+02
1.982000000000000000e+03 1.463258383223237047e+02 1.476999969482421875e+02
1.983000000000000000e+03 1.365264109238779611e+02 1.430000000000000000e+02
1.984000000000000000e+03 1.354563195781122715e+02 1.378000030517578125e+02
1.985000000000000000e+03 1.321125822730116681e+02 1.353000030517578125e+02
1.986000000000000000e+03 1.337291084311075622e+02 1.376000061035156250e+02
1.987000000000000000e+03 1.245289485548786956e+02 1.340000000000000000e+02
1.988000000000000000e+03 1.326811605721264868e+02 1.340000000000000000e+02
1.989000000000000000e+03 1.189634615769352024e+02 1.325000000000000000e+02
1.990000000000000000e+03 1.033698223680034403e+02 1.283000030517578125e+02
1.991000000000000000e+03 1.048148771372807602e+02 1.271999969482421875e+02
1.992000000000000000e+03 1.016502283507771125e+02 1.281999969482421875e+02
1.993000000000000000e+03 9.749624911943146799e+01 1.268000030517578125e+02
1.994000000000000000e+03 9.274471234362776784e+01 1.281999969482421875e+02
1.995000000000000000e+03 9.384926356955183735e+01 1.353999938964843750e+02
1.996000000000000000e+03 9.245893371708648090e+01 1.351000061035156250e+02
1.997000000000000000e+03 9.379636789020807441e+01 1.353000030517578125e+02
1.998000000000000000e+03 9.171213238500736509e+01 1.358999938964843750e+02
1.999000000000000000e+03 8.816587755929569425e+01 1.333000030517578125e+02
2.000000000000000000e+03 8.436016975113233229e+01 1.255000000000000000e+02
2.001000000000000000e+03 7.992445900251863122e+01 1.214000015258789062e+02
2.002000000000000000e+03 7.621419184492465604e+01 1.214000015258789062e+02
2.003000000000000000e+03 7.032788547130786583e+01 1.010999984741210938e+02
2.004000000000000000e+03 6.519390645177894328e+01 9.769999694824218750e+01
2.005000000000000000e+03 5.620538943949149768e+01 9.609999847412109375e+01
2.006000000000000000e+03 5.396745867864276391e+01 9.869999694824218750e+01
2.007000000000000000e+03 5.030443015280442864e+01 1.023000030517578125e+02
2.008000000000000000e+03 4.808382973878381961e+01 8.169999694824218750e+01
2.009000000000000000e+03 4.784375108731655502e+01 7.890000152587890625e+01
2.010000000000000000e+03 4.069968281450485392e+01 7.169999694824218750e+01
2.011000000000000000e+03 3.964218619576752189e+01 6.959999847412109375e+01
2.012000000000000000e+03 3.929487380805352359e+01 6.600000000000000000e+01
2.013000000000000000e+03 3.821275364018529075e+01 6.690000152587890625e+01
2.014000000000000000e+03 3.894215661742597234e+01 6.359999847412109375e+01
2.015000000000000000e+03 3.858252000949281069e+01 6.270000076293945312e+01
2.016000000000000000e+03 3.733711907507254324e+01 6.240000152587890625e+01
2.017000000000000000e+03 3.661117545869191758e+01 6.120000076293945312e+01
