# year, synthetic, actual
1.970000000000000000e+03 1.179537664737679137e+02 1.159000015258789062e+02
1.971000000000000000e+03 1.215873371609187927e+02 1.198000030517578125e+02
1.972000000000000000e+03 1.238096736613792501e+02 1.253000030517578125e+02
1.973000000000000000e+03 1.270509808403542422e+02 1.266999969482421875e+02
1.974000000000000000e+03 1.310309798149649225e+02 1.298999938964843750e+02
1.975000000000000000e+03 1.335999695192080594e+02 1.336000061035156250e+02
1.976000000000000000e+03 1.398459968996690463e+02 1.396000061035156250e+02
1.977000000000000000e+03 1.416029430627405929e+02 1.400000000000000000e+02
1.978000000000000000e+03 1.429986530976789538e+02 1.426999969482421875e+02
1.979000000000000000e+03 1.410737578000302221e+02 1.401000061035156250e+02
1.980000000000000000e+03 1.438000443978274348e+02 1.438000030517578125e+02
1.981000000000000000e+03 1.422713641046838688e+02 1.440000000000000000e+02
1.982000000000000000e+03 1.435310399696572290e+02 1.438999938964843750e+02
1.983000000000000000e+03 1.387939168386696736e+02 1.336999969482421875e+02
1.984000000000000000e+03 1.288689502138025489e+02 1.288999938964843750e+02
1.985000000000000000e+03 1.275013777142401210e+02 1.250000000000000000e+02
1.986000000000000000e+03 1.253755102506558785e+02 1.211999969482421875e+02
1.987000000000000000e+03 1.183277599423123831e+02 1.165000000000000000e+02
1.988000000000000000e+03 1.108999814356288027e+02 1.109000015258789062e+02
1.989000000000000000e+03 1.085562447739165322e+02 1.035999984741210938e+02
1.990000000000000000e+03 1.015717266509455072e+02 1.015000000000000000e+02
1.991000000000000000e+03 9.609298752480698624e+01 1.071999969482421875e+02
1.992000000000000000e+03 9.502503514577762189e+01 1.085000000000000000e+02
1.993000000000000000e+03 9.684526354331529774e+01 1.061999969482421875e+02
1.994000000000000000e+03 9.493511139837072221e+01 1.053000030517578125e+02
1.995000000000000000e+03 9.352268303006617600e+01 1.056999969482421875e+02
1.996000000000000000e+03 9.315739416548233010e+01 1.068000030517578125e+02
1.997000000000000000e+03 9.302425971304332109e+01 1.053000030517578125e+02
1.998000000000000000e+03 9.191733518770762146e+01 1.031999969482421875e+02
1.999000000000000000e+03 8.673425759875493668e+01 1.010000000000000000e+02
2.000000000000000000e+03 8.510829911209802390e+01 1.043000030517578125e+02
2.001000000000000000e+03 7.922411647157012737e+01 8.309999847412109375e+01
2.002000000000000000e+03 7.339480981718045882e+01 9.700000000000000000e+01
2.003000000000000000e+03 7.848040032372131236e+01 8.290000152587890625e+01
2.004000000000000000e+03 7.478842782926405164e+01 8.559999847412109375e+01
2.005000000000000000e+03 7.503472769624295324e+01 9.100000000000000000e+01
2.006000000000000000e+03 7.034549300461284815e+01 7.730000305175781250e+01
2.007000000000000000e+03 6.582992357482899592e+01 8.669999694824218750e+01
2.008000000000000000e+03 6.083391421154725265e+01 8.790000152587890625e+01
2.009000000000000000e+03 5.773259493095061146e+01 8.259999847412109375e+01
2.010000000000000000e+03 5.114805220779413730e+01 7.430000305175781250e+01
2.011000000000000000e+03 5.034495303996723692e+01 7.880000305175781250e+01
2.012000000000000000e+03 4.849056626029202732e+01 7.200000000000000000e+01
2.013000000000000000e+03 4.690515249131590281e+01 7.330000305175781250e+01
2.014000000000000000e+03 4.430151269839040395e+01 6.509999847412109375e+01
2.015000000000000000e+03 4.382810982020475876e+01 7.380000305175781250e+01
2.016000000000000000e+03 4.345149659313133128e+01 5.590000152587890625e+01
2.017000000000000000e+03 4.223936817678499978e+01 5.759999847412109375e+01
