# year, synthetic, actual
1.970000000000000000e+03 1.055436814977960580e+02 1.243000030517578125e+02
1.971000000000000000e+03 1.101248948853570084e+02 1.214000015258789062e+02
1.972000000000000000e+03 1.169102409287745985e+02 1.179000015258789062e+02
1.973000000000000000e+03 1.196470762532470644e+02 1.211999969482421875e+02
1.974000000000000000e+03 1.235174219389160157e+02 1.243000030517578125e+02
1.975000000000000000e+03 1.255622950955911676e+02 1.260999984741210938e+02
1.976000000000000000e+03 1.292321140735690221e+02 1.169000015258789062e+02
1.977000000000000000e+03 1.331235291802313441e+02 1.189000015258789062e+02
1.978000000000000000e+03 1.246702921382698435e+02 1.205000000000000000e+02
1.979000000000000000e+03 1.236499237996627727e+02 1.181999969482421875e+02
1.980000000000000000e+03 1.226209235209657749e+02 1.205000000000000000e+02
1.981000000000000000e+03 1.236573321967902217e+02 1.231999969482421875e+02
1.982000000000000000e+03 1.229479195342433968e+02 1.223000030517578125e+02
1.983000000000000000e+03 1.189757069134044372e+02 1.198000030517578125e+02
1.984000000000000000e+03 1.148394342569150126e+02 1.160000000000000000e+02
1.985000000000000000e+03 1.149196902215876435e+02 1.171999969482421875e+02
1.986000000000000000e+03 1.090036276778280495e+02 1.158000030517578125e+02
1.987000000000000000e+03 1.152625740852861895e+02 1.138000030517578125e+02
1.988000000000000000e+03 1.102563324207905708e+02 1.116999969482421875e+02
1.989000000000000000e+03 1.099651123608523449e+02 1.044000015258789062e+02
1.990000000000000000e+03 1.063215720041640964e+02 9.940000152587890625e+01
1.991000000000000000e+03 1.055114664254326158e+02 9.350000000000000000e+01
1.992000000000000000e+03 1.064620670509420108e+02 9.050000000000000000e+01
1.993000000000000000e+03 1.061220129124552756e+02 8.409999847412109375e+01
1.994000000000000000e+03 1.060050515556105921e+02 7.700000000000000000e+01
1.995000000000000000e+03 1.100853340362985193e+02 7.690000152587890625e+01
1.996000000000000000e+03 1.086009646200358674e+02 7.459999847412109375e+01
1.997000000000000000e+03 1.093961100654428122e+02 6.669999694824218750e+01
1.998000000000000000e+03 1.059722131458435399e+02 6.359999847412109375e+01
1.999000000000000000e+03 1.040972867154235217e+02 6.040000152587890625e+01
2.000000000000000000e+03 9.773878360759249517e+01 5.829999923706054688e+01
2.001000000000000000e+03 9.386414989675661502e+01 5.479999923706054688e+01
2.002000000000000000e+03 9.420744539027280950e+01 5.550000000000000000e+01
2.003000000000000000e+03 8.144475543887762115e+01 4.750000000000000000e+01
2.004000000000000000e+03 8.038073059283193800e+01 4.359999847412109375e+01
2.005000000000000000e+03 7.968783610030446596e+01 4.270000076293945312e+01
2.006000000000000000e+03 8.155962434091630087e+01 4.409999847412109375e+01
2.007000000000000000e+03 8.532589258430687096e+01 4.300000000000000000e+01
2.008000000000000000e+03 6.452520356452237138e+01 4.309999847412109375e+01
2.009000000000000000e+03 6.462456355079304160e+01 3.459999847412109375e+01
2.010000000000000000e+03 5.996005576245573820e+01 3.370000076293945312e+01
2.011000000000000000e+03 5.761177600984578362e+01 3.420000076293945312e+01
2.012000000000000000e+03 5.522077391724150175e+01 3.350000000000000000e+01
2.013000000000000000e+03 5.453885336187147459e+01 3.220000076293945312e+01
2.014000000000000000e+03 5.152118431343745897e+01 2.710000038146972656e+01
2.015000000000000000e+03 5.114737347511857024e+01 2.589999961853027344e+01
2.016000000000000000e+03 5.043554637023887466e+01 2.560000038146972656e+01
2.017000000000000000e+03 4.916344536119222397e+01 2.429999923706054688e+01
