# year, synthetic, actual
1.970000000000000000e+03 9.791057726008469331e+01 1.043000030517578125e+02
1.971000000000000000e+03 1.012767852424872501e+02 1.164000015258789062e+02
1.972000000000000000e+03 1.043626633447783831e+02 9.680000305175781250e+01
1.973000000000000000e+03 1.063050300215191584e+02 1.068000030517578125e+02
1.974000000000000000e+03 1.094210599248511500e+02 1.105999984741210938e+02
1.975000000000000000e+03 1.114999587122169231e+02 1.115000000000000000e+02
1.976000000000000000e+03 1.157140978339623985e+02 1.166999969482421875e+02
1.977000000000000000e+03 1.170383997449689844e+02 1.171999969482421875e+02
1.978000000000000000e+03 1.182688450273958409e+02 1.189000015258789062e+02
1.979000000000000000e+03 1.172012297716500626e+02 1.183000030517578125e+02
1.980000000000000000e+03 1.176999885511500423e+02 1.176999969482421875e+02
1.981000000000000000e+03 1.180210654356227735e+02 1.208000030517578125e+02
1.982000000000000000e+03 1.170607554119222868e+02 1.194000015258789062e+02
1.983000000000000000e+03 1.129395127396318088e+02 1.131999969482421875e+02
1.984000000000000000e+03 1.068497089144571817e+02 1.108000030517578125e+02
1.985000000000000000e+03 1.061438042421483630e+02 1.130000000000000000e+02
1.986000000000000000e+03 1.036383681305155022e+02 1.048000030517578125e+02
1.987000000000000000e+03 1.015190151340122782e+02 1.088000030517578125e+02
1.988000000000000000e+03 9.409996978720592153e+01 9.409999847412109375e+01
1.989000000000000000e+03 9.251820616784488038e+01 9.230000305175781250e+01
1.990000000000000000e+03 8.699850111600653690e+01 9.069999694824218750e+01
1.991000000000000000e+03 8.643063129872371064e+01 8.619999694824218750e+01
1.992000000000000000e+03 8.677857567534495331e+01 8.380000305175781250e+01
1.993000000000000000e+03 8.641483680061658390e+01 8.159999847412109375e+01
1.994000000000000000e+03 8.538480439996109794e+01 8.340000152587890625e+01
1.995000000000000000e+03 8.474677091158113740e+01 8.409999847412109375e+01
1.996000000000000000e+03 8.438053808827565661e+01 8.169999694824218750e+01
1.997000000000000000e+03 8.446981957681339281e+01 8.409999847412109375e+01
1.998000000000000000e+03 8.045417529569488124e+01 8.319999694824218750e+01
1.999000000000000000e+03 7.798786517681048736e+01 8.069999694824218750e+01
2.000000000000000000e+03 7.498528923090398735e+01 7.600000000000000000e+01
2.001000000000000000e+03 7.157807203945604613e+01 7.419999694824218750e+01
2.002000000000000000e+03 6.890124868288114612e+01 7.100000000000000000e+01
2.003000000000000000e+03 6.761812546828301151e+01 7.169999694824218750e+01
2.004000000000000000e+03 6.335554199817320864e+01 7.300000000000000000e+01
2.005000000000000000e+03 6.313906235151285529e+01 6.569999694824218750e+01
2.006000000000000000e+03 6.221015216103188550e+01 5.559999847412109375e+01
2.007000000000000000e+03 6.027648933095415629e+01 5.300000000000000000e+01
2.008000000000000000e+03 5.644661790738877016e+01 5.090000152587890625e+01
2.009000000000000000e+03 5.349618004179420439e+01 4.870000076293945312e+01
2.010000000000000000e+03 4.845097150068126979e+01 4.650000000000000000e+01
2.011000000000000000e+03 4.658514570006285282e+01 5.150000000000000000e+01
2.012000000000000000e+03 4.576967480147684597e+01 3.790000152587890625e+01
2.013000000000000000e+03 4.407135679469011080e+01 4.309999847412109375e+01
2.014000000000000000e+03 4.172905373688926289e+01 3.139999961853027344e+01
2.015000000000000000e+03 4.195045042706432525e+01 3.020000076293945312e+01
2.016000000000000000e+03 4.016801404122806218e+01 2.979999923706054688e+01
2.017000000000000000e+03 3.900150962862378634e+01 2.829999923706054688e+01
