# year, synthetic, actual
1.970000000000000000e+03 2.053487753332315719e+02 1.723999938964843750e+02
1.971000000000000000e+03 2.090837168383352775e+02 1.876000061035156250e+02
1.972000000000000000e+03 2.195668461282677697e+02 2.141000061035156250e+02
1.973000000000000000e+03 2.173937545141581609e+02 2.265000000000000000e+02
1.974000000000000000e+03 2.176696970122150105e+02 2.273000030517578125e+02
1.975000000000000000e+03 2.185755707338765887e+02 2.260000000000000000e+02
1.976000000000000000e+03 2.214666224756961412e+02 2.301999969482421875e+02
1.977000000000000000e+03 2.107842358378333927e+02 2.170000000000000000e+02
1.978000000000000000e+03 2.052658615361336274e+02 2.055000000000000000e+02
1.979000000000000000e+03 1.987917896151910497e+02 1.973000030517578125e+02
1.980000000000000000e+03 1.929573506032457431e+02 1.878000030517578125e+02
1.981000000000000000e+03 1.885348013634866788e+02 1.793000030517578125e+02
1.982000000000000000e+03 1.824174583155792675e+02 1.790000000000000000e+02
1.983000000000000000e+03 1.764376980043421668e+02 1.696999969482421875e+02
1.984000000000000000e+03 1.553197003023014702e+02 1.606000061035156250e+02
1.985000000000000000e+03 1.591133938621096320e+02 1.563000030517578125e+02
1.986000000000000000e+03 1.548029468805808619e+02 1.543999938964843750e+02
1.987000000000000000e+03 1.577409443037514052e+02 1.505000000000000000e+02
1.988000000000000000e+03 1.489313990536874712e+02 1.460000000000000000e+02
1.989000000000000000e+03 1.447465369305941749e+02 1.393000030517578125e+02
1.990000000000000000e+03 1.396016516033324137e+02 1.336999969482421875e+02
1.991000000000000000e+03 1.220395875613365888e+02 1.326999969482421875e+02
1.992000000000000000e+03 1.176730835683981837e+02 1.288000030517578125e+02
1.993000000000000000e+03 1.174260511636487649e+02 1.296999969482421875e+02
1.994000000000000000e+03 1.164607323312058043e+02 1.126999969482421875e+02
1.995000000000000000e+03 1.143085052692670018e+02 1.249000015258789062e+02
1.996000000000000000e+03 1.128260783367289264e+02 1.296999969482421875e+02
1.997000000000000000e+03 1.140039005276563842e+02 1.255999984741210938e+02
1.998000000000000000e+03 1.186770193437746883e+02 1.260000000000000000e+02
1.999000000000000000e+03 1.189721461691993198e+02 1.130999984741210938e+02
2.000000000000000000e+03 1.052070647655286280e+02 1.090000000000000000e+02
2.001000000000000000e+03 1.005361265802163757e+02 1.000999984741210938e+02
2.002000000000000000e+03 9.338935891372740628e+01 9.850000000000000000e+01
2.003000000000000000e+03 1.000755162511323562e+02 9.769999694824218750e+01
2.004000000000000000e+03 8.850230480546683509e+01 9.559999847412109375e+01
2.005000000000000000e+03 8.588613474020694127e+01 9.380000305175781250e+01
2.006000000000000000e+03 8.407038858857202968e+01 8.959999847412109375e+01
2.007000000000000000e+03 8.090434724811380818e+01 7.830000305175781250e+01
2.008000000000000000e+03 7.374504041083517336e+01 7.369999694824218750e+01
2.009000000000000000e+03 6.835916931200515023e+01 6.959999847412109375e+01
2.010000000000000000e+03 5.969855516790487826e+01 6.150000000000000000e+01
2.011000000000000000e+03 5.693445668232014611e+01 6.090000152587890625e+01
2.012000000000000000e+03 5.521561805395945299e+01 6.070000076293945312e+01
2.013000000000000000e+03 5.417856413072617272e+01 5.750000000000000000e+01
2.014000000000000000e+03 5.319499790717295440e+01 5.670000076293945312e+01
2.015000000000000000e+03 5.638345528480588342e+01 5.409999847412109375e+01
2.016000000000000000e+03 4.560069967162245774e+01 5.440000152587890625e+01
2.017000000000000000e+03 4.841022573899194725e+01 5.450000000000000000e+01
