# year, synthetic, actual
1.970000000000000000e+03 1.041817648208688780e+02 9.380000305175781250e+01
1.971000000000000000e+03 1.064687388475399388e+02 9.850000000000000000e+01
1.972000000000000000e+03 1.082672771776527441e+02 1.038000030517578125e+02
1.973000000000000000e+03 1.087157611268564779e+02 1.086999969482421875e+02
1.974000000000000000e+03 1.128943809871295940e+02 1.105000000000000000e+02
1.975000000000000000e+03 1.180943568104719930e+02 1.179000015258789062e+02
1.976000000000000000e+03 1.250026857147281589e+02 1.254000015258789062e+02
1.977000000000000000e+03 1.257671961936276688e+02 1.221999969482421875e+02
1.978000000000000000e+03 1.240244734438548448e+02 1.219000015258789062e+02
1.979000000000000000e+03 1.226377313927055042e+02 1.213000030517578125e+02
1.980000000000000000e+03 1.233252121600888529e+02 1.236999969482421875e+02
1.981000000000000000e+03 1.254062262246905561e+02 1.256999969482421875e+02
1.982000000000000000e+03 1.272356286220304611e+02 1.268000030517578125e+02
1.983000000000000000e+03 1.231979415755644425e+02 1.195999984741210938e+02
1.984000000000000000e+03 1.139756931489945373e+02 1.094000015258789062e+02
1.985000000000000000e+03 1.121395906022978579e+02 1.031999969482421875e+02
1.986000000000000000e+03 1.098663434248805260e+02 9.980000305175781250e+01
1.987000000000000000e+03 1.017256101658495737e+02 9.230000305175781250e+01
1.988000000000000000e+03 8.740752889713796492e+01 8.709999847412109375e+01
1.989000000000000000e+03 8.948845161951157934e+01 8.409999847412109375e+01
1.990000000000000000e+03 8.447450634712787121e+01 7.709999847412109375e+01
1.991000000000000000e+03 8.093070299282565827e+01 8.519999694824218750e+01
1.992000000000000000e+03 7.885490820710492699e+01 7.440000152587890625e+01
1.993000000000000000e+03 8.096779819346362217e+01 8.300000000000000000e+01
1.994000000000000000e+03 7.905016814932511693e+01 8.100000000000000000e+01
1.995000000000000000e+03 7.520716972565642777e+01 8.059999847412109375e+01
1.996000000000000000e+03 7.516952020603726226e+01 8.080000305175781250e+01
1.997000000000000000e+03 7.249327203895823857e+01 7.750000000000000000e+01
1.998000000000000000e+03 7.025677427988509294e+01 7.909999847412109375e+01
1.999000000000000000e+03 6.520399736977428518e+01 7.469999694824218750e+01
2.000000000000000000e+03 6.478030297825060302e+01 7.250000000000000000e+01
2.001000000000000000e+03 5.965707858123337104e+01 7.009999847412109375e+01
2.002000000000000000e+03 5.704669252204216434e+01 6.850000000000000000e+01
2.003000000000000000e+03 5.693635632137111457e+01 6.569999694824218750e+01
2.004000000000000000e+03 5.461359064701248656e+01 6.569999694824218750e+01
2.005000000000000000e+03 5.353783338438060468e+01 6.600000000000000000e+01
2.006000000000000000e+03 5.170860316177270732e+01 7.369999694824218750e+01
2.007000000000000000e+03 4.789672114560163863e+01 7.590000152587890625e+01
2.008000000000000000e+03 4.289417525044654411e+01 7.400000000000000000e+01
2.009000000000000000e+03 4.110129157136692868e+01 7.290000152587890625e+01
2.010000000000000000e+03 3.788150057190038211e+01 6.930000305175781250e+01
2.011000000000000000e+03 3.751310336654380251e+01 6.900000000000000000e+01
2.012000000000000000e+03 3.585073915216508311e+01 7.450000000000000000e+01
2.013000000000000000e+03 3.483651877909615990e+01 7.250000000000000000e+01
2.014000000000000000e+03 3.256782498318064256e+01 7.580000305175781250e+01
2.015000000000000000e+03 3.239647632937446531e+01 7.580000305175781250e+01
2.016000000000000000e+03 3.150304964702007382e+01 7.019999694824218750e+01
2.017000000000000000e+03 3.032001427730819643e+01 6.519999694824218750e+01
