# year, synthetic, actual
1.970000000000000000e+03 9.984702758140140588e+01 1.080999984741210938e+02
1.971000000000000000e+03 1.029517159765837278e+02 1.085999984741210938e+02
1.972000000000000000e+03 1.069206672755106240e+02 1.049000015258789062e+02
1.973000000000000000e+03 1.091466340930223282e+02 1.065999984741210938e+02
1.974000000000000000e+03 1.123015474664076976e+02 1.105000000000000000e+02
1.975000000000000000e+03 1.140999702203597650e+02 1.140999984741210938e+02
1.976000000000000000e+03 1.179034318876928182e+02 1.180999984741210938e+02
1.977000000000000000e+03 1.184927829831301125e+02 1.176999969482421875e+02
1.978000000000000000e+03 1.184858943341717179e+02 1.174000015258789062e+02
1.979000000000000000e+03 1.170779471197748336e+02 1.160999984741210938e+02
1.980000000000000000e+03 1.162999871414281046e+02 1.163000030517578125e+02
1.981000000000000000e+03 1.171242184995376192e+02 1.170000000000000000e+02
1.982000000000000000e+03 1.152640235170757421e+02 1.170999984741210938e+02
1.983000000000000000e+03 1.106401852831429409e+02 1.108000030517578125e+02
1.984000000000000000e+03 1.050418402815052730e+02 1.076999969482421875e+02
1.985000000000000000e+03 1.040787461222705303e+02 1.050999984741210938e+02
1.986000000000000000e+03 1.015538907367420620e+02 1.030999984741210938e+02
1.987000000000000000e+03 1.001652031295166978e+02 1.013000030517578125e+02
1.988000000000000000e+03 9.289997022154270212e+01 9.290000152587890625e+01
1.989000000000000000e+03 9.111670293686547950e+01 9.380000305175781250e+01
1.990000000000000000e+03 8.653164565108512818e+01 8.990000152587890625e+01
1.991000000000000000e+03 8.541450774806426693e+01 9.240000152587890625e+01
1.992000000000000000e+03 8.493067940152465667e+01 9.059999847412109375e+01
1.993000000000000000e+03 8.529357257104787493e+01 9.109999847412109375e+01
1.994000000000000000e+03 8.420574948358832046e+01 8.590000152587890625e+01
1.995000000000000000e+03 8.321942463801127587e+01 8.850000000000000000e+01
1.996000000000000000e+03 8.277792222221725638e+01 8.619999694824218750e+01
1.997000000000000000e+03 8.345714817319705503e+01 8.550000000000000000e+01
1.998000000000000000e+03 7.852500650508524416e+01 7.969999694824218750e+01
1.999000000000000000e+03 7.633241541192816726e+01 8.680000305175781250e+01
2.000000000000000000e+03 7.270216899272855926e+01 7.759999847412109375e+01
2.001000000000000000e+03 6.985512702456868794e+01 6.980000305175781250e+01
2.002000000000000000e+03 6.820586349050667252e+01 7.730000305175781250e+01
2.003000000000000000e+03 6.701347384534845730e+01 6.840000152587890625e+01
2.004000000000000000e+03 6.273184108841589079e+01 6.179999923706054688e+01
2.005000000000000000e+03 6.199994731899846556e+01 6.100000000000000000e+01
2.006000000000000000e+03 6.140515108230660246e+01 5.950000000000000000e+01
2.007000000000000000e+03 5.915270199742331414e+01 6.009999847412109375e+01
2.008000000000000000e+03 5.475677687185012843e+01 6.320000076293945312e+01
2.009000000000000000e+03 5.171560982714443355e+01 5.979999923706054688e+01
2.010000000000000000e+03 4.756683215349739413e+01 5.500000000000000000e+01
2.011000000000000000e+03 4.504359298795591826e+01 5.350000000000000000e+01
2.012000000000000000e+03 4.426525647307838085e+01 5.250000000000000000e+01
2.013000000000000000e+03 4.254900969875951944e+01 5.120000076293945312e+01
2.014000000000000000e+03 4.047919760429607550e+01 4.729999923706054688e+01
2.015000000000000000e+03 4.045872026866045701e+01 4.659999847412109375e+01
2.016000000000000000e+03 3.894269816461591205e+01 4.629999923706054688e+01
2.017000000000000000e+03 3.777320747396153422e+01 4.340000152587890625e+01
