# year, synthetic, actual
1.970000000000000000e+03 1.062667864616451965e+02 1.206999969482421875e+02
1.971000000000000000e+03 1.103676640162838538e+02 1.250999984741210938e+02
1.972000000000000000e+03 1.152757996771829596e+02 1.283999938964843750e+02
1.973000000000000000e+03 1.169919794453131487e+02 1.201999969482421875e+02
1.974000000000000000e+03 1.204427812536134752e+02 1.214000015258789062e+02
1.975000000000000000e+03 1.223000062528691956e+02 1.223000030517578125e+02
1.976000000000000000e+03 1.259036679942604025e+02 1.224000015258789062e+02
1.977000000000000000e+03 1.273521311232161821e+02 1.228000030517578125e+02
1.978000000000000000e+03 1.258768610108878363e+02 1.239000015258789062e+02
1.979000000000000000e+03 1.244109002090042679e+02 1.238000030517578125e+02
1.980000000000000000e+03 1.242999978623045365e+02 1.243000030517578125e+02
1.981000000000000000e+03 1.244937072123643844e+02 1.279000015258789062e+02
1.982000000000000000e+03 1.234116264727899903e+02 1.263000030517578125e+02
1.983000000000000000e+03 1.193076217031915007e+02 1.213000030517578125e+02
1.984000000000000000e+03 1.146757417615071830e+02 1.178000030517578125e+02
1.985000000000000000e+03 1.146834666242125849e+02 1.169000015258789062e+02
1.986000000000000000e+03 1.090346240165633276e+02 1.155000000000000000e+02
1.987000000000000000e+03 1.130009103080620037e+02 1.115999984741210938e+02
1.988000000000000000e+03 1.078000029852486534e+02 1.078000030517578125e+02
1.989000000000000000e+03 1.058130119766457398e+02 1.030000000000000000e+02
1.990000000000000000e+03 1.017016168020958133e+02 9.859999847412109375e+01
1.991000000000000000e+03 1.006008560475103764e+02 8.669999694824218750e+01
1.992000000000000000e+03 1.005739231679360870e+02 8.659999847412109375e+01
1.993000000000000000e+03 9.994342816537435681e+01 8.290000152587890625e+01
1.994000000000000000e+03 9.878925423706603226e+01 8.159999847412109375e+01
1.995000000000000000e+03 1.007242337610208267e+02 8.100000000000000000e+01
1.996000000000000000e+03 9.888483285909147469e+01 7.909999847412109375e+01
1.997000000000000000e+03 9.961752291945218474e+01 7.700000000000000000e+01
1.998000000000000000e+03 9.664317170764951470e+01 7.259999847412109375e+01
1.999000000000000000e+03 9.417995267556617023e+01 6.359999847412109375e+01
2.000000000000000000e+03 8.881771198517095911e+01 6.009999847412109375e+01
2.001000000000000000e+03 8.572140303632886571e+01 5.770000076293945312e+01
2.002000000000000000e+03 8.451095076082805235e+01 5.840000152587890625e+01
2.003000000000000000e+03 7.994713590021426342e+01 4.809999847412109375e+01
2.004000000000000000e+03 7.668337280711985215e+01 4.300000000000000000e+01
2.005000000000000000e+03 7.587432175347194629e+01 3.750000000000000000e+01
2.006000000000000000e+03 7.568584311925553720e+01 3.770000076293945312e+01
2.007000000000000000e+03 7.630824846801147032e+01 3.420000076293945312e+01
2.008000000000000000e+03 6.362274157750221804e+01 3.420000076293945312e+01
2.009000000000000000e+03 6.266119650810437491e+01 3.259999847412109375e+01
2.010000000000000000e+03 5.778786731542766830e+01 3.110000038146972656e+01
2.011000000000000000e+03 5.528683478265847384e+01 3.250000000000000000e+01
2.012000000000000000e+03 5.352062055528354279e+01 3.160000038146972656e+01
2.013000000000000000e+03 5.184891080741478930e+01 3.060000038146972656e+01
2.014000000000000000e+03 4.926871566325482377e+01 2.929999923706054688e+01
2.015000000000000000e+03 4.896532108156336704e+01 2.829999923706054688e+01
2.016000000000000000e+03 4.782070208761089702e+01 2.810000038146972656e+01
2.017000000000000000e+03 4.632547270310549692e+01 2.729999923706054688e+01
