# year, synthetic, actual
1.970000000000000000e+03 8.716278263414288574e+01 9.000000000000000000e+01
1.971000000000000000e+03 9.004310884274539717e+01 9.259999847412109375e+01
1.972000000000000000e+03 9.440938251914502644e+01 9.930000305175781250e+01
1.973000000000000000e+03 9.500892552562933702e+01 9.890000152587890625e+01
1.974000000000000000e+03 9.847950970636347279e+01 1.003000030517578125e+02
1.975000000000000000e+03 1.030998649748279092e+02 1.030999984741210938e+02
1.976000000000000000e+03 1.081334624633506820e+02 1.024000015258789062e+02
1.977000000000000000e+03 1.083462489015389139e+02 1.024000015258789062e+02
1.978000000000000000e+03 1.060716607459652607e+02 1.030999984741210938e+02
1.979000000000000000e+03 1.046999569607934291e+02 1.010000000000000000e+02
1.980000000000000000e+03 1.027001789766931807e+02 1.026999969482421875e+02
1.981000000000000000e+03 1.056736409426003718e+02 1.030000000000000000e+02
1.982000000000000000e+03 1.047098400077998690e+02 9.750000000000000000e+01
1.983000000000000000e+03 1.008383766085339630e+02 9.630000305175781250e+01
1.984000000000000000e+03 9.524448999150266104e+01 8.890000152587890625e+01
1.985000000000000000e+03 9.451275191956202093e+01 8.800000000000000000e+01
1.986000000000000000e+03 9.022275025976026086e+01 8.819999694824218750e+01
1.987000000000000000e+03 9.072323575238912952e+01 8.230000305175781250e+01
1.988000000000000000e+03 7.769997767670938060e+01 7.769999694824218750e+01
1.989000000000000000e+03 8.039861084881117392e+01 7.440000152587890625e+01
1.990000000000000000e+03 7.769297494367697254e+01 7.080000305175781250e+01
1.991000000000000000e+03 7.805158188678554154e+01 6.990000152587890625e+01
1.992000000000000000e+03 7.777316102221459460e+01 7.140000152587890625e+01
1.993000000000000000e+03 7.818414003408337010e+01 6.900000000000000000e+01
1.994000000000000000e+03 7.709015189514380495e+01 6.819999694824218750e+01
1.995000000000000000e+03 7.529356271931067113e+01 6.700000000000000000e+01
1.996000000000000000e+03 7.547667860824606123e+01 6.569999694824218750e+01
1.997000000000000000e+03 7.525952012235258337e+01 6.179999923706054688e+01
1.998000000000000000e+03 6.746349437089493506e+01 6.259999847412109375e+01
1.999000000000000000e+03 6.559599551518395799e+01 5.970000076293945312e+01
2.000000000000000000e+03 6.186015401468294783e+01 5.379999923706054688e+01
2.001000000000000000e+03 5.938354014604647091e+01 5.370000076293945312e+01
2.002000000000000000e+03 5.900524278594767935e+01 5.220000076293945312e+01
2.003000000000000000e+03 5.533495410437117101e+01 5.350000000000000000e+01
2.004000000000000000e+03 5.375022033158618484e+01 3.540000152587890625e+01
2.005000000000000000e+03 5.282874415736669960e+01 3.550000000000000000e+01
2.006000000000000000e+03 5.301385088000603929e+01 3.540000152587890625e+01
2.007000000000000000e+03 5.277063182829355981e+01 3.459999847412109375e+01
2.008000000000000000e+03 4.526947234346665283e+01 3.400000000000000000e+01
2.009000000000000000e+03 4.372870866076270602e+01 3.270000076293945312e+01
2.010000000000000000e+03 4.133579513506960978e+01 3.029999923706054688e+01
2.011000000000000000e+03 3.874511548182393739e+01 2.729999923706054688e+01
2.012000000000000000e+03 3.840922919969598581e+01 2.670000076293945312e+01
2.013000000000000000e+03 3.672803621428803922e+01 2.639999961853027344e+01
2.014000000000000000e+03 3.485575155039345674e+01 2.460000038146972656e+01
2.015000000000000000e+03 3.480083830587295779e+01 2.579999923706054688e+01
2.016000000000000000e+03 3.349045210186162791e+01 2.460000038146972656e+01
2.017000000000000000e+03 3.217696471060229158e+01 2.400000000000000000e+01
