# year, synthetic, actual
1.970000000000000000e+03 1.623946310039616776e+02 1.895000000000000000e+02
1.971000000000000000e+03 1.737704435258922047e+02 1.905000000000000000e+02
1.972000000000000000e+03 1.940790271303627037e+02 1.986000061035156250e+02
1.973000000000000000e+03 2.029817868865263222e+02 2.015000000000000000e+02
1.974000000000000000e+03 2.044563075912614352e+02 2.046999969482421875e+02
1.975000000000000000e+03 2.052000020580756825e+02 2.051999969482421875e+02
1.976000000000000000e+03 2.102575125564519851e+02 2.013999938964843750e+02
1.977000000000000000e+03 2.026435410991950050e+02 1.908000030517578125e+02
1.978000000000000000e+03 1.908244934704978277e+02 1.870000000000000000e+02
1.979000000000000000e+03 1.840937940210657189e+02 1.833000030517578125e+02
1.980000000000000000e+03 1.776999996906547210e+02 1.776999969482421875e+02
1.981000000000000000e+03 1.727136934943138158e+02 1.718999938964843750e+02
1.982000000000000000e+03 1.720132731399973238e+02 1.651000061035156250e+02
1.983000000000000000e+03 1.641495904373508949e+02 1.591999969482421875e+02
1.984000000000000000e+03 1.554707473340390038e+02 1.366000061035156250e+02
1.985000000000000000e+03 1.513461223148362933e+02 1.466999969482421875e+02
1.986000000000000000e+03 1.500073260754292050e+02 1.426000061035156250e+02
1.987000000000000000e+03 1.458505759125974350e+02 1.476999969482421875e+02
1.988000000000000000e+03 1.419000013487068657e+02 1.418999938964843750e+02
1.989000000000000000e+03 1.364839735577293709e+02 1.378999938964843750e+02
1.990000000000000000e+03 1.308965532790269037e+02 1.373000030517578125e+02
1.991000000000000000e+03 1.293126016471203172e+02 1.155000000000000000e+02
1.992000000000000000e+03 1.268047724642079146e+02 1.100000000000000000e+02
1.993000000000000000e+03 1.270623367707370477e+02 1.080999984741210938e+02
1.994000000000000000e+03 1.173790441160381874e+02 1.051999969482421875e+02
1.995000000000000000e+03 1.263848066698490555e+02 1.009000015258789062e+02
1.996000000000000000e+03 1.290791307985315086e+02 9.900000000000000000e+01
1.997000000000000000e+03 1.276462667931605779e+02 9.559999847412109375e+01
1.998000000000000000e+03 1.273807970487749657e+02 1.024000015258789062e+02
1.999000000000000000e+03 1.183072060989265992e+02 1.039000015258789062e+02
2.000000000000000000e+03 1.122734082725346241e+02 9.319999694824218750e+01
2.001000000000000000e+03 1.051634961793094334e+02 9.050000000000000000e+01
2.002000000000000000e+03 1.031367891966089729e+02 8.219999694824218750e+01
2.003000000000000000e+03 1.007703144729214983e+02 8.659999847412109375e+01
2.004000000000000000e+03 9.826357667738814428e+01 6.990000152587890625e+01
2.005000000000000000e+03 9.612837690694176729e+01 6.969999694824218750e+01
2.006000000000000000e+03 9.227316734614223037e+01 6.850000000000000000e+01
2.007000000000000000e+03 8.550751116632483217e+01 6.550000000000000000e+01
2.008000000000000000e+03 7.749443713647885090e+01 6.190000152587890625e+01
2.009000000000000000e+03 7.391625189845782984e+01 5.350000000000000000e+01
2.010000000000000000e+03 6.545525152702995797e+01 4.809999847412109375e+01
2.011000000000000000e+03 6.408982305542188840e+01 4.570000076293945312e+01
2.012000000000000000e+03 6.311607171188269660e+01 4.309999847412109375e+01
2.013000000000000000e+03 6.067050909968595818e+01 4.320000076293945312e+01
2.014000000000000000e+03 5.930964766723965909e+01 4.159999847412109375e+01
2.015000000000000000e+03 5.730052041345291514e+01 4.640000152587890625e+01
2.016000000000000000e+03 5.748663864568118953e+01 3.089999961853027344e+01
2.017000000000000000e+03 5.688668394384652061e+01 3.629999923706054688e+01
