# year, synthetic, actual
1.970000000000000000e+03 1.228027712103868652e+02 1.084000015258789062e+02
1.971000000000000000e+03 1.262096140857616433e+02 1.154000015258789062e+02
1.972000000000000000e+03 1.281462343212374151e+02 1.216999969482421875e+02
1.973000000000000000e+03 1.277383416843188257e+02 1.240999984741210938e+02
1.974000000000000000e+03 1.307413435968394140e+02 1.305000000000000000e+02
1.975000000000000000e+03 1.329602961861174890e+02 1.328999938964843750e+02
1.976000000000000000e+03 1.404546757476278742e+02 1.386000061035156250e+02
1.977000000000000000e+03 1.413480788213682331e+02 1.403999938964843750e+02
1.978000000000000000e+03 1.415402691655118304e+02 1.436000061035156250e+02
1.979000000000000000e+03 1.395831359854645655e+02 1.416000061035156250e+02
1.980000000000000000e+03 1.414586891272155924e+02 1.416000061035156250e+02
1.981000000000000000e+03 1.412303908545879949e+02 1.436999969482421875e+02
1.982000000000000000e+03 1.427957651219036848e+02 1.470000000000000000e+02
1.983000000000000000e+03 1.379937323653239218e+02 1.400000000000000000e+02
1.984000000000000000e+03 1.277119264018759139e+02 1.281000061035156250e+02
1.985000000000000000e+03 1.249724885450814895e+02 1.241999969482421875e+02
1.986000000000000000e+03 1.224564695622890298e+02 1.199000015258789062e+02
1.987000000000000000e+03 1.147715274798823657e+02 1.130999984741210938e+02
1.988000000000000000e+03 1.036888971208547900e+02 1.035999984741210938e+02
1.989000000000000000e+03 1.021299714623352628e+02 9.750000000000000000e+01
1.990000000000000000e+03 9.297567291904786657e+01 8.840000152587890625e+01
1.991000000000000000e+03 8.727248284629658315e+01 8.780000305175781250e+01
1.992000000000000000e+03 8.494549436249258179e+01 8.630000305175781250e+01
1.993000000000000000e+03 8.871190352028142456e+01 8.619999694824218750e+01
1.994000000000000000e+03 8.701602436390140838e+01 1.048000030517578125e+02
1.995000000000000000e+03 8.416485601808102501e+01 1.095000000000000000e+02
1.996000000000000000e+03 8.363415551146988491e+01 1.108000030517578125e+02
1.997000000000000000e+03 8.305699799392778004e+01 1.118000030517578125e+02
1.998000000000000000e+03 8.331975511861706707e+01 1.121999969482421875e+02
1.999000000000000000e+03 7.808036227395957951e+01 1.114000015258789062e+02
2.000000000000000000e+03 7.670042910124855950e+01 1.089000015258789062e+02
2.001000000000000000e+03 6.949201104280366792e+01 1.080999984741210938e+02
2.002000000000000000e+03 6.576081833461124404e+01 1.020000000000000000e+02
2.003000000000000000e+03 6.768268688455972892e+01 1.030000000000000000e+02
2.004000000000000000e+03 6.528352003914123713e+01 1.015999984741210938e+02
2.005000000000000000e+03 6.378931589654199286e+01 9.819999694824218750e+01
2.006000000000000000e+03 6.222055055381360233e+01 8.719999694824218750e+01
2.007000000000000000e+03 5.753018658313628464e+01 8.580000305175781250e+01
2.008000000000000000e+03 5.086346623409622936e+01 8.669999694824218750e+01
2.009000000000000000e+03 4.974505355565645459e+01 7.900000000000000000e+01
2.010000000000000000e+03 4.427021311716018204e+01 7.119999694824218750e+01
2.011000000000000000e+03 4.425288892182643963e+01 7.100000000000000000e+01
2.012000000000000000e+03 4.253912428654579969e+01 7.130000305175781250e+01
2.013000000000000000e+03 4.156776589722583282e+01 6.719999694824218750e+01
2.014000000000000000e+03 3.945034646551625457e+01 6.430000305175781250e+01
2.015000000000000000e+03 3.935387072762572558e+01 6.259999847412109375e+01
2.016000000000000000e+03 3.868396897186843830e+01 6.120000076293945312e+01
2.017000000000000000e+03 3.735535440375532801e+01 6.050000000000000000e+01
