# year, synthetic, actual
1.970000000000000000e+03 1.341593064525444561e+02 1.570000000000000000e+02
1.971000000000000000e+03 1.381105169210114241e+02 1.578999938964843750e+02
1.972000000000000000e+03 1.455056159256549790e+02 1.603999938964843750e+02
1.973000000000000000e+03 1.439277417213463650e+02 1.553000030517578125e+02
1.974000000000000000e+03 1.463544942049977919e+02 1.558000030517578125e+02
1.975000000000000000e+03 1.543999819459201888e+02 1.543999938964843750e+02
1.976000000000000000e+03 1.637206601302591480e+02 1.565000000000000000e+02
1.977000000000000000e+03 1.605632406319579673e+02 1.556000061035156250e+02
1.978000000000000000e+03 1.534271837215331402e+02 1.563000030517578125e+02
1.979000000000000000e+03 1.487667491316319399e+02 1.506999969482421875e+02
1.980000000000000000e+03 1.464999654673513021e+02 1.465000000000000000e+02
1.981000000000000000e+03 1.496401119956605044e+02 1.431000061035156250e+02
1.982000000000000000e+03 1.496227962262985614e+02 1.353000030517578125e+02
1.983000000000000000e+03 1.456522374388683261e+02 1.245999984741210938e+02
1.984000000000000000e+03 1.359499834649417949e+02 1.180000000000000000e+02
1.985000000000000000e+03 1.320820185460585492e+02 1.185999984741210938e+02
1.986000000000000000e+03 1.287944682636315292e+02 1.120000000000000000e+02
1.987000000000000000e+03 1.222922474539271747e+02 1.089000015258789062e+02
1.988000000000000000e+03 1.081999216029104787e+02 1.081999969482421875e+02
1.989000000000000000e+03 1.103800114789510900e+02 1.065999984741210938e+02
1.990000000000000000e+03 1.082385724911264901e+02 1.025000000000000000e+02
1.991000000000000000e+03 1.073661989014618285e+02 1.000999984741210938e+02
1.992000000000000000e+03 1.056062912401478115e+02 1.015999984741210938e+02
1.993000000000000000e+03 1.045879507761161875e+02 9.869999694824218750e+01
1.994000000000000000e+03 1.038441448016131119e+02 9.659999847412109375e+01
1.995000000000000000e+03 1.035217825570513952e+02 9.459999847412109375e+01
1.996000000000000000e+03 1.025737250249832186e+02 9.430000305175781250e+01
1.997000000000000000e+03 1.014894656495225149e+02 8.950000000000000000e+01
1.998000000000000000e+03 9.960530708229329377e+01 8.419999694824218750e+01
1.999000000000000000e+03 9.472009037728697933e+01 7.990000152587890625e+01
2.000000000000000000e+03 8.779609575126973198e+01 7.200000000000000000e+01
2.001000000000000000e+03 8.473178354023531256e+01 6.859999847412109375e+01
2.002000000000000000e+03 8.283682229686364451e+01 6.659999847412109375e+01
2.003000000000000000e+03 8.354265402937515717e+01 6.090000152587890625e+01
2.004000000000000000e+03 8.061815757248459136e+01 5.520000076293945312e+01
2.005000000000000000e+03 7.804132630185748098e+01 5.320000076293945312e+01
2.006000000000000000e+03 7.466635220500204184e+01 5.470000076293945312e+01
2.007000000000000000e+03 7.266306152327980783e+01 5.550000000000000000e+01
2.008000000000000000e+03 6.527646447872179181e+01 5.040000152587890625e+01
2.009000000000000000e+03 6.358422270656091513e+01 4.840000152587890625e+01
2.010000000000000000e+03 5.779001824108080854e+01 4.470000076293945312e+01
2.011000000000000000e+03 5.604601730455501496e+01 4.700000000000000000e+01
2.012000000000000000e+03 5.441884185091723225e+01 4.470000076293945312e+01
2.013000000000000000e+03 5.217814310015887713e+01 4.329999923706054688e+01
2.014000000000000000e+03 5.032260490816443621e+01 4.140000152587890625e+01
2.015000000000000000e+03 4.956764318639098121e+01 4.050000000000000000e+01
2.016000000000000000e+03 4.886479256056588127e+01 4.000000000000000000e+01
2.017000000000000000e+03 4.664638134886837406e+01 3.829999923706054688e+01
