# year, synthetic, actual
1.970000000000000000e+03 9.869229534779709923e+01 1.073000030517578125e+02
1.971000000000000000e+03 1.031784789287684987e+02 1.063000030517578125e+02
1.972000000000000000e+03 1.066012555618766271e+02 1.090000000000000000e+02
1.973000000000000000e+03 1.075683723602747364e+02 1.106999969482421875e+02
1.974000000000000000e+03 1.114875477962323203e+02 1.141999969482421875e+02
1.975000000000000000e+03 1.146000052243889655e+02 1.145999984741210938e+02
1.976000000000000000e+03 1.190510818267766524e+02 1.188000030517578125e+02
1.977000000000000000e+03 1.214065296420165367e+02 1.200999984741210938e+02
1.978000000000000000e+03 1.228338965248650823e+02 1.223000030517578125e+02
1.979000000000000000e+03 1.221107422027902629e+02 1.225999984741210938e+02
1.980000000000000000e+03 1.240000085566073125e+02 1.240000000000000000e+02
1.981000000000000000e+03 1.236285614291153649e+02 1.251999969482421875e+02
1.982000000000000000e+03 1.241511659400566572e+02 1.233000030517578125e+02
1.983000000000000000e+03 1.212890394935077296e+02 1.253000030517578125e+02
1.984000000000000000e+03 1.157771251430010153e+02 1.153000030517578125e+02
1.985000000000000000e+03 1.170188193795872706e+02 1.158000030517578125e+02
1.986000000000000000e+03 1.085611843249090214e+02 1.139000015258789062e+02
1.987000000000000000e+03 1.143527930907108185e+02 1.105999984741210938e+02
1.988000000000000000e+03 1.075999932721852161e+02 1.075999984741210938e+02
1.989000000000000000e+03 1.066014727588617177e+02 1.070999984741210938e+02
1.990000000000000000e+03 1.020423655446265769e+02 1.013000030517578125e+02
1.991000000000000000e+03 1.014476292267505784e+02 1.025000000000000000e+02
1.992000000000000000e+03 1.031413166143675255e+02 9.619999694824218750e+01
1.993000000000000000e+03 1.011816620730870540e+02 9.469999694824218750e+01
1.994000000000000000e+03 9.990445099998380840e+01 9.540000152587890625e+01
1.995000000000000000e+03 1.024778546936157682e+02 9.540000152587890625e+01
1.996000000000000000e+03 9.998997076339722412e+01 9.330000305175781250e+01
1.997000000000000000e+03 9.941932103592291980e+01 9.290000152587890625e+01
1.998000000000000000e+03 9.773634620685724883e+01 9.209999847412109375e+01
1.999000000000000000e+03 9.434889818614077228e+01 9.109999847412109375e+01
2.000000000000000000e+03 8.978753984071069283e+01 8.790000152587890625e+01
2.001000000000000000e+03 8.675562850817865979e+01 8.680000305175781250e+01
2.002000000000000000e+03 8.296239776150193279e+01 8.690000152587890625e+01
2.003000000000000000e+03 7.918832693015990287e+01 7.469999694824218750e+01
2.004000000000000000e+03 7.680409815167706711e+01 6.890000152587890625e+01
2.005000000000000000e+03 7.690157743550017244e+01 6.279999923706054688e+01
2.006000000000000000e+03 7.662599329939740755e+01 6.240000152587890625e+01
2.007000000000000000e+03 7.811381097769108806e+01 6.079999923706054688e+01
2.008000000000000000e+03 6.221178185127611471e+01 6.140000152587890625e+01
2.009000000000000000e+03 6.268151236606978216e+01 5.920000076293945312e+01
2.010000000000000000e+03 5.757869364015956393e+01 5.700000000000000000e+01
2.011000000000000000e+03 5.612302428727559800e+01 5.640000152587890625e+01
2.012000000000000000e+03 5.439335920032323912e+01 5.500000000000000000e+01
2.013000000000000000e+03 5.239526530061728238e+01 5.279999923706054688e+01
2.014000000000000000e+03 4.945900074859930129e+01 5.079999923706054688e+01
2.015000000000000000e+03 4.916623014660260083e+01 4.850000000000000000e+01
2.016000000000000000e+03 4.845038185117504526e+01 4.820000076293945312e+01
2.017000000000000000e+03 4.686500171438506612e+01 4.050000000000000000e+01
