# year, synthetic, actual
1.970000000000000000e+03 1.081444257650041294e+02 1.035999984741210938e+02
1.971000000000000000e+03 1.142156474440950973e+02 1.150000000000000000e+02
1.972000000000000000e+03 1.203948201218818781e+02 1.186999969482421875e+02
1.973000000000000000e+03 1.227929864241164069e+02 1.255000000000000000e+02
1.974000000000000000e+03 1.271653205952343768e+02 1.296999969482421875e+02
1.975000000000000000e+03 1.304999956588178236e+02 1.305000000000000000e+02
1.976000000000000000e+03 1.351318468668922037e+02 1.368000030517578125e+02
1.977000000000000000e+03 1.365446229813072421e+02 1.371999969482421875e+02
1.978000000000000000e+03 1.377310497268005349e+02 1.403999938964843750e+02
1.979000000000000000e+03 1.362157664398522741e+02 1.356999969482421875e+02
1.980000000000000000e+03 1.382999998062399811e+02 1.383000030517578125e+02
1.981000000000000000e+03 1.363582509306018267e+02 1.361000061035156250e+02
1.982000000000000000e+03 1.372229900635795445e+02 1.360000000000000000e+02
1.983000000000000000e+03 1.339552913419316269e+02 1.311000061035156250e+02
1.984000000000000000e+03 1.282759252953183875e+02 1.270000000000000000e+02
1.985000000000000000e+03 1.302398118444025954e+02 1.254000015258789062e+02
1.986000000000000000e+03 1.180280275487129842e+02 1.265999984741210938e+02
1.987000000000000000e+03 1.286541647693241828e+02 1.265999984741210938e+02
1.988000000000000000e+03 1.243999953149709086e+02 1.244000015258789062e+02
1.989000000000000000e+03 1.226582383602992508e+02 1.224000015258789062e+02
1.990000000000000000e+03 1.199408001585875354e+02 1.185999984741210938e+02
1.991000000000000000e+03 1.189664615836443886e+02 1.215000000000000000e+02
1.992000000000000000e+03 1.203980785972350560e+02 1.129000015258789062e+02
1.993000000000000000e+03 1.181330268917298554e+02 1.151999969482421875e+02
1.994000000000000000e+03 1.153094915874843309e+02 1.121999969482421875e+02
1.995000000000000000e+03 1.206313066014772346e+02 1.091999969482421875e+02
1.996000000000000000e+03 1.170594263274261948e+02 1.029000015258789062e+02
1.997000000000000000e+03 1.167745076693715163e+02 1.245000000000000000e+02
1.998000000000000000e+03 1.156476049921079579e+02 1.269000015258789062e+02
1.999000000000000000e+03 1.112330623661123070e+02 1.094000015258789062e+02
2.000000000000000000e+03 1.050944347116482760e+02 1.039000015258789062e+02
2.001000000000000000e+03 1.013252272878608409e+02 9.659999847412109375e+01
2.002000000000000000e+03 9.780652861067655124e+01 9.750000000000000000e+01
2.003000000000000000e+03 9.466317048057445049e+01 9.569999694824218750e+01
2.004000000000000000e+03 9.352097795365601485e+01 9.219999694824218750e+01
2.005000000000000000e+03 9.450149758939129185e+01 9.400000000000000000e+01
2.006000000000000000e+03 9.234785329342690829e+01 9.640000152587890625e+01
2.007000000000000000e+03 9.545419827763755904e+01 9.119999694824218750e+01
2.008000000000000000e+03 7.358204122249524914e+01 8.909999847412109375e+01
2.009000000000000000e+03 7.518330167208414139e+01 8.500000000000000000e+01
2.010000000000000000e+03 6.899726000582884922e+01 8.450000000000000000e+01
2.011000000000000000e+03 6.745977467698808994e+01 6.990000152587890625e+01
2.012000000000000000e+03 6.501104645205518295e+01 6.190000152587890625e+01
2.013000000000000000e+03 6.248064135901940119e+01 6.200000000000000000e+01
2.014000000000000000e+03 5.922179772241663898e+01 5.890000152587890625e+01
2.015000000000000000e+03 5.859741179708166925e+01 5.609999847412109375e+01
2.016000000000000000e+03 5.801811564269488741e+01 5.729999923706054688e+01
2.017000000000000000e+03 5.618307607474473997e+01 5.550000000000000000e+01
