# year, synthetic, actual
1.970000000000000000e+03 9.946732883608187592e+01 9.269999694824218750e+01
1.971000000000000000e+03 1.024578754943885457e+02 9.669999694824218750e+01
1.972000000000000000e+03 1.066136377813009375e+02 1.030000000000000000e+02
1.973000000000000000e+03 1.087454176474653593e+02 1.035000000000000000e+02
1.974000000000000000e+03 1.117928217241934021e+02 1.084000015258789062e+02
1.975000000000000000e+03 1.135000283649299035e+02 1.135000000000000000e+02
1.976000000000000000e+03 1.170529793468644044e+02 1.166999969482421875e+02
1.977000000000000000e+03 1.175833776301684992e+02 1.155999984741210938e+02
1.978000000000000000e+03 1.173353374531028095e+02 1.169000015258789062e+02
1.979000000000000000e+03 1.157978758216887343e+02 1.174000015258789062e+02
1.980000000000000000e+03 1.147000166610324499e+02 1.146999969482421875e+02
1.981000000000000000e+03 1.155547899906673308e+02 1.156999969482421875e+02
1.982000000000000000e+03 1.134654717240707669e+02 1.130000000000000000e+02
1.983000000000000000e+03 1.088275686506458158e+02 1.098000030517578125e+02
1.984000000000000000e+03 1.035158447942193192e+02 1.056999969482421875e+02
1.985000000000000000e+03 1.026614864916598009e+02 1.044000015258789062e+02
1.986000000000000000e+03 1.001041426604710978e+02 9.700000000000000000e+01
1.987000000000000000e+03 9.928269107475637156e+01 9.580000305175781250e+01
1.988000000000000000e+03 9.190000328333709945e+01 9.190000152587890625e+01
1.989000000000000000e+03 9.032121569174644549e+01 8.740000152587890625e+01
1.990000000000000000e+03 8.592721727472250848e+01 8.830000305175781250e+01
1.991000000000000000e+03 8.480237325409258631e+01 9.180000305175781250e+01
1.992000000000000000e+03 8.476675374409491326e+01 9.300000000000000000e+01
1.993000000000000000e+03 8.480881151296297560e+01 9.159999847412109375e+01
1.994000000000000000e+03 8.362547725515004515e+01 9.480000305175781250e+01
1.995000000000000000e+03 8.283195018908529050e+01 9.859999847412109375e+01
1.996000000000000000e+03 8.259004447888115408e+01 9.230000305175781250e+01
1.997000000000000000e+03 8.322669379729572370e+01 8.880000305175781250e+01
1.998000000000000000e+03 7.760790776961559345e+01 8.830000305175781250e+01
1.999000000000000000e+03 7.600734763320198795e+01 8.350000000000000000e+01
2.000000000000000000e+03 7.205185643446580457e+01 7.509999847412109375e+01
2.001000000000000000e+03 6.937318835639347014e+01 7.809999847412109375e+01
2.002000000000000000e+03 6.789860831079985815e+01 7.540000152587890625e+01
2.003000000000000000e+03 6.653670826592106380e+01 7.319999694824218750e+01
2.004000000000000000e+03 6.217100459761372377e+01 6.930000305175781250e+01
2.005000000000000000e+03 6.131363998718078534e+01 6.869999694824218750e+01
2.006000000000000000e+03 6.053999949663739955e+01 6.919999694824218750e+01
2.007000000000000000e+03 5.863011379627224073e+01 5.850000000000000000e+01
2.008000000000000000e+03 5.427885253037562308e+01 4.950000000000000000e+01
2.009000000000000000e+03 5.113639267647872089e+01 4.970000076293945312e+01
2.010000000000000000e+03 4.691819807788024832e+01 4.859999847412109375e+01
2.011000000000000000e+03 4.438780951797781427e+01 4.379999923706054688e+01
2.012000000000000000e+03 4.377680507745143501e+01 4.279999923706054688e+01
2.013000000000000000e+03 4.196500573607043094e+01 4.270000076293945312e+01
2.014000000000000000e+03 3.984640575151203024e+01 4.229999923706054688e+01
2.015000000000000000e+03 3.986790571756419155e+01 4.070000076293945312e+01
2.016000000000000000e+03 3.831095531779874364e+01 4.459999847412109375e+01
2.017000000000000000e+03 3.722901133965018516e+01 4.159999847412109375e+01
