# year, synthetic, actual
1.970000000000000000e+03 9.859738459022506163e+01 1.064000015258789062e+02
1.971000000000000000e+03 1.032685851513404316e+02 1.089000015258789062e+02
1.972000000000000000e+03 1.064728680688336198e+02 1.085999984741210938e+02
1.973000000000000000e+03 1.106790346685386766e+02 1.104000015258789062e+02
1.974000000000000000e+03 1.131146602627587896e+02 1.146999969482421875e+02
1.975000000000000000e+03 1.188415593875061376e+02 1.160000000000000000e+02
1.976000000000000000e+03 1.247719996279553385e+02 1.214000015258789062e+02
1.977000000000000000e+03 1.250393094146864854e+02 1.241999969482421875e+02
1.978000000000000000e+03 1.272928449312569228e+02 1.265999984741210938e+02
1.979000000000000000e+03 1.264054276330566324e+02 1.264000015258789062e+02
1.980000000000000000e+03 1.296350681813065080e+02 1.296999969482421875e+02
1.981000000000000000e+03 1.295701157051696555e+02 1.290000000000000000e+02
1.982000000000000000e+03 1.300149574546315421e+02 1.311999969482421875e+02
1.983000000000000000e+03 1.260250094501398479e+02 1.264000015258789062e+02
1.984000000000000000e+03 1.177362442191059415e+02 1.171999969482421875e+02
1.985000000000000000e+03 1.155036425429589855e+02 1.159000015258789062e+02
1.986000000000000000e+03 1.134392954046502950e+02 1.136999969482421875e+02
1.987000000000000000e+03 1.075917724651723688e+02 1.058000030517578125e+02
1.988000000000000000e+03 1.035536901139627872e+02 9.650000000000000000e+01
1.989000000000000000e+03 1.000162999142726505e+02 9.450000000000000000e+01
1.990000000000000000e+03 9.344150089846975504e+01 8.559999847412109375e+01
1.991000000000000000e+03 9.846800834344905695e+01 7.959999847412109375e+01
1.992000000000000000e+03 9.719102123077342981e+01 7.719999694824218750e+01
1.993000000000000000e+03 9.603001516622674671e+01 8.130000305175781250e+01
1.994000000000000000e+03 9.583579878186920098e+01 7.880000305175781250e+01
1.995000000000000000e+03 9.806148671088465107e+01 7.519999694824218750e+01
1.996000000000000000e+03 9.740379867158058858e+01 7.459999847412109375e+01
1.997000000000000000e+03 9.526619449550187824e+01 7.259999847412109375e+01
1.998000000000000000e+03 9.636352118143686596e+01 7.319999694824218750e+01
1.999000000000000000e+03 9.237054857419033738e+01 6.780000305175781250e+01
2.000000000000000000e+03 8.882155574218046468e+01 6.930000305175781250e+01
2.001000000000000000e+03 8.857336628091675834e+01 6.209999847412109375e+01
2.002000000000000000e+03 8.105136993740651974e+01 5.829999923706054688e+01
2.003000000000000000e+03 8.174611747884324586e+01 5.890000152587890625e+01
2.004000000000000000e+03 7.672851113932132705e+01 5.579999923706054688e+01
2.005000000000000000e+03 7.729999752742509145e+01 5.540000152587890625e+01
2.006000000000000000e+03 7.882496221927405600e+01 5.429999923706054688e+01
2.007000000000000000e+03 7.837517590806292844e+01 4.929999923706054688e+01
2.008000000000000000e+03 7.709078468595700429e+01 4.390000152587890625e+01
2.009000000000000000e+03 7.367463641074171221e+01 4.229999923706054688e+01
2.010000000000000000e+03 6.709195681565182667e+01 3.820000076293945312e+01
2.011000000000000000e+03 6.607266418668477570e+01 3.870000076293945312e+01
2.012000000000000000e+03 6.832060788672097829e+01 3.670000076293945312e+01
2.013000000000000000e+03 6.560403931428835733e+01 3.620000076293945312e+01
2.014000000000000000e+03 6.538260820969128417e+01 3.370000076293945312e+01
2.015000000000000000e+03 6.496952193587058844e+01 3.379999923706054688e+01
2.016000000000000000e+03 6.235220062532937391e+01 3.279999923706054688e+01
2.017000000000000000e+03 5.928937071129086434e+01 3.189999961853027344e+01
