# year, synthetic, actual
1.970000000000000000e+03 9.000000000300943270e+01 6.550000000000000000e+01
1.971000000000000000e+03 9.259999847726153632e+01 6.769999694824218750e+01
1.972000000000000000e+03 9.930000305509759073e+01 7.130000305175781250e+01
1.973000000000000000e+03 9.890000152929607680e+01 7.269999694824218750e+01
1.974000000000000000e+03 1.003000030552091886e+02 7.559999847412109375e+01
1.975000000000000000e+03 1.030999984776754985e+02 7.580000305175781250e+01
1.976000000000000000e+03 1.024000015295926005e+02 7.790000152587890625e+01
1.977000000000000000e+03 1.024000015295043653e+02 7.890000152587890625e+01
1.978000000000000000e+03 1.030999984776471194e+02 7.959999847412109375e+01
1.979000000000000000e+03 1.010000000034338683e+02 7.909999847412109375e+01
1.980000000000000000e+03 1.026999969516184876e+02 7.480000305175781250e+01
1.981000000000000000e+03 1.030000000033742822e+02 7.759999847412109375e+01
1.982000000000000000e+03 9.750000000335818129e+01 7.359999847412109375e+01
1.983000000000000000e+03 9.630000305496969304e+01 6.900000000000000000e+01
1.984000000000000000e+03 8.890000152885488660e+01 6.630000305175781250e+01
1.985000000000000000e+03 8.800000000288399349e+01 6.650000000000000000e+01
1.986000000000000000e+03 8.819999695105924786e+01 6.440000152587890625e+01
1.987000000000000000e+03 8.230000305444319508e+01 6.769999694824218750e+01
1.988000000000000000e+03 7.769999695075050283e+01 5.500000000000000000e+01
1.989000000000000000e+03 7.440000152834205949e+01 5.700000000000000000e+01
1.990000000000000000e+03 7.080000305414223760e+01 5.340000152587890625e+01
1.991000000000000000e+03 6.990000152822031509e+01 5.350000000000000000e+01
1.992000000000000000e+03 7.140000152816375589e+01 5.500000000000000000e+01
1.993000000000000000e+03 6.900000000230519959e+01 5.620000076293945312e+01
1.994000000000000000e+03 6.819999695054481492e+01 5.579999923706054688e+01
1.995000000000000000e+03 6.700000000234426523e+01 5.200000000000000000e+01
1.996000000000000000e+03 6.569999695059071598e+01 5.400000000000000000e+01
1.997000000000000000e+03 6.179999923943643125e+01 5.700000000000000000e+01
1.998000000000000000e+03 6.259999847644117210e+01 4.229999923706054688e+01
1.999000000000000000e+03 5.970000076517118259e+01 4.390000152587890625e+01
2.000000000000000000e+03 5.379999923912469484e+01 4.070000076293945312e+01
2.001000000000000000e+03 5.370000076491951546e+01 3.870000076293945312e+01
2.002000000000000000e+03 5.220000076483619722e+01 4.009999847412109375e+01
2.003000000000000000e+03 5.350000000206121342e+01 3.650000000000000000e+01
2.004000000000000000e+03 3.540000152782248222e+01 3.420000076293945312e+01
2.005000000000000000e+03 3.550000000194490468e+01 3.359999847412109375e+01
2.006000000000000000e+03 3.540000152765777131e+01 3.450000000000000000e+01
2.007000000000000000e+03 3.459999847584314381e+01 3.290000152587890625e+01
2.008000000000000000e+03 3.400000000162280855e+01 3.129999923706054688e+01
2.009000000000000000e+03 3.270000076448129533e+01 2.760000038146972656e+01
2.010000000000000000e+03 3.029999923842562382e+01 2.670000076293945312e+01
2.011000000000000000e+03 2.729999923839847042e+01 2.229999923706054688e+01
2.012000000000000000e+03 2.670000076423978186e+01 2.300000000000000000e+01
2.013000000000000000e+03 2.639999961977804688e+01 2.139999961853027344e+01
2.014000000000000000e+03 2.460000038267255817e+01 1.950000000000000000e+01
2.015000000000000000e+03 2.579999923823931240e+01 2.000000000000000000e+01
2.016000000000000000e+03 2.460000038263392952e+01 1.850000000000000000e+01
2.017000000000000000e+03 2.400000000112808252e+01 1.839999961853027344e+01
