# year, synthetic, actual
1.970000000000000000e+03 1.245217474028749223e+02 1.225999984741210938e+02
1.971000000000000000e+03 1.292826479182519961e+02 1.244000015258789062e+02
1.972000000000000000e+03 1.355645269896315313e+02 1.380000000000000000e+02
1.973000000000000000e+03 1.444012247534861615e+02 1.468000030517578125e+02
1.974000000000000000e+03 1.502470303529474620e+02 1.518000030517578125e+02
1.975000000000000000e+03 1.554999919859274371e+02 1.555000000000000000e+02
1.976000000000000000e+03 1.617089824309285291e+02 1.711000061035156250e+02
1.977000000000000000e+03 1.626838458527668081e+02 1.693999938964843750e+02
1.978000000000000000e+03 1.629877448392987844e+02 1.623999938964843750e+02
1.979000000000000000e+03 1.590307456204434118e+02 1.608999938964843750e+02
1.980000000000000000e+03 1.615999959697280133e+02 1.616000061035156250e+02
1.981000000000000000e+03 1.591146760792343002e+02 1.638000030517578125e+02
1.982000000000000000e+03 1.600432134003089004e+02 1.623000030517578125e+02
1.983000000000000000e+03 1.534186977175168920e+02 1.538000030517578125e+02
1.984000000000000000e+03 1.426555616472108170e+02 1.443000030517578125e+02
1.985000000000000000e+03 1.416100284843473105e+02 1.445000000000000000e+02
1.986000000000000000e+03 1.390430088144138949e+02 1.311999969482421875e+02
1.987000000000000000e+03 1.324736820576503931e+02 1.283000030517578125e+02
1.988000000000000000e+03 1.286999952985127322e+02 1.286999969482421875e+02
1.989000000000000000e+03 1.257472598728845696e+02 1.209000015258789062e+02
1.990000000000000000e+03 1.252000221573347005e+02 1.243000030517578125e+02
1.991000000000000000e+03 1.204502577787729649e+02 1.209000015258789062e+02
1.992000000000000000e+03 1.198043532935494397e+02 1.265000000000000000e+02
1.993000000000000000e+03 1.194484326002952912e+02 1.171999969482421875e+02
1.994000000000000000e+03 1.187480968029632891e+02 1.203000030517578125e+02
1.995000000000000000e+03 1.198408910743746389e+02 1.231999969482421875e+02
1.996000000000000000e+03 1.207113817971954006e+02 1.025000000000000000e+02
1.997000000000000000e+03 1.221881743697041003e+02 9.769999694824218750e+01
1.998000000000000000e+03 1.169399883171429479e+02 9.700000000000000000e+01
1.999000000000000000e+03 1.120538817808091636e+02 9.409999847412109375e+01
2.000000000000000000e+03 1.091872021902369738e+02 8.890000152587890625e+01
2.001000000000000000e+03 1.020736986106188482e+02 9.430000305175781250e+01
2.002000000000000000e+03 9.735047957662266072e+01 9.300000000000000000e+01
2.003000000000000000e+03 1.074952538660287473e+02 7.790000152587890625e+01
2.004000000000000000e+03 1.049391602486100226e+02 6.919999694824218750e+01
2.005000000000000000e+03 1.084628812235049935e+02 6.390000152587890625e+01
2.006000000000000000e+03 9.332117968691702004e+01 6.390000152587890625e+01
2.007000000000000000e+03 9.173471968745347738e+01 5.450000000000000000e+01
2.008000000000000000e+03 8.915134492801161059e+01 5.159999847412109375e+01
2.009000000000000000e+03 8.202008574609314451e+01 4.890000152587890625e+01
2.010000000000000000e+03 7.259956559170363732e+01 4.770000076293945312e+01
2.011000000000000000e+03 7.086224252247907884e+01 4.870000076293945312e+01
2.012000000000000000e+03 6.768459761527446972e+01 4.570000076293945312e+01
2.013000000000000000e+03 6.506325512424253077e+01 4.209999847412109375e+01
2.014000000000000000e+03 6.087260282647173426e+01 4.040000152587890625e+01
2.015000000000000000e+03 6.076830420456848714e+01 4.040000152587890625e+01
2.016000000000000000e+03 5.827571796477918298e+01 3.740000152587890625e+01
2.017000000000000000e+03 5.751787580684301560e+01 3.629999923706054688e+01
