# year, synthetic, actual
1.970000000000000000e+03 1.381674823775539949e+02 1.321999969482421875e+02
1.971000000000000000e+03 1.452796062179927787e+02 1.316999969482421875e+02
1.972000000000000000e+03 1.542801063809481263e+02 1.400000000000000000e+02
1.973000000000000000e+03 1.538294590689860399e+02 1.411999969482421875e+02
1.974000000000000000e+03 1.568483915848103152e+02 1.458000030517578125e+02
1.975000000000000000e+03 1.606999756851982397e+02 1.606999969482421875e+02
1.976000000000000000e+03 1.696312802637323500e+02 1.615000000000000000e+02
1.977000000000000000e+03 1.672341363299842953e+02 1.603999938964843750e+02
1.978000000000000000e+03 1.646463029685636457e+02 1.603000030517578125e+02
1.979000000000000000e+03 1.599950702821304844e+02 1.686000061035156250e+02
1.980000000000000000e+03 1.580999787388209938e+02 1.581000061035156250e+02
1.981000000000000000e+03 1.592347422535951296e+02 1.631000061035156250e+02
1.982000000000000000e+03 1.607960904954594241e+02 1.576999969482421875e+02
1.983000000000000000e+03 1.546584728311468382e+02 1.411999969482421875e+02
1.984000000000000000e+03 1.424572833873546074e+02 1.288999938964843750e+02
1.985000000000000000e+03 1.373261074839082596e+02 1.256999969482421875e+02
1.986000000000000000e+03 1.336311279724085637e+02 1.248000030517578125e+02
1.987000000000000000e+03 1.267091118714970861e+02 1.104000015258789062e+02
1.988000000000000000e+03 1.143000031818653355e+02 1.143000030517578125e+02
1.989000000000000000e+03 1.112777536715392301e+02 1.114000015258789062e+02
1.990000000000000000e+03 1.029831618237759159e+02 9.690000152587890625e+01
1.991000000000000000e+03 1.009786623808575285e+02 1.090999984741210938e+02
1.992000000000000000e+03 9.889439733596168480e+01 1.108000030517578125e+02
1.993000000000000000e+03 9.988185749483727705e+01 1.084000015258789062e+02
1.994000000000000000e+03 1.073456619995516093e+02 1.111999969482421875e+02
1.995000000000000000e+03 1.102265437198336713e+02 1.150000000000000000e+02
1.996000000000000000e+03 1.111620692391338139e+02 1.103000030517578125e+02
1.997000000000000000e+03 1.122800950351172702e+02 1.088000030517578125e+02
1.998000000000000000e+03 1.120196023721884302e+02 1.029000015258789062e+02
1.999000000000000000e+03 1.083241553114105642e+02 1.048000030517578125e+02
2.000000000000000000e+03 1.027558453375284131e+02 9.050000000000000000e+01
2.001000000000000000e+03 9.877994038231801710e+01 9.290000152587890625e+01
2.002000000000000000e+03 9.438007916073581782e+01 9.319999694824218750e+01
2.003000000000000000e+03 9.697930673832846082e+01 1.155000000000000000e+02
2.004000000000000000e+03 9.598269208055218371e+01 4.750000000000000000e+01
2.005000000000000000e+03 9.231460173802207692e+01 7.640000152587890625e+01
2.006000000000000000e+03 8.537439404538812937e+01 7.880000305175781250e+01
2.007000000000000000e+03 8.229697218765511479e+01 8.300000000000000000e+01
2.008000000000000000e+03 7.803394968395653564e+01 7.900000000000000000e+01
2.009000000000000000e+03 7.402425421186362087e+01 7.669999694824218750e+01
2.010000000000000000e+03 6.582019959948156895e+01 6.569999694824218750e+01
2.011000000000000000e+03 6.502071489055705911e+01 7.050000000000000000e+01
2.012000000000000000e+03 6.476795066187389693e+01 6.150000000000000000e+01
2.013000000000000000e+03 6.150948551248043117e+01 6.079999923706054688e+01
2.014000000000000000e+03 5.961930281508352181e+01 5.640000152587890625e+01
2.015000000000000000e+03 5.828273490746369845e+01 5.859999847412109375e+01
2.016000000000000000e+03 5.764646243516130397e+01 5.459999847412109375e+01
2.017000000000000000e+03 5.617854505539570908e+01 5.240000152587890625e+01
