# year, synthetic, actual
1.970000000000000000e+03 1.185719977379524437e+02 1.213000030517578125e+02
1.971000000000000000e+03 1.207939964178012531e+02 1.230000000000000000e+02
1.972000000000000000e+03 1.303968784794882652e+02 1.300000000000000000e+02
1.973000000000000000e+03 1.365164789058907502e+02 1.258000030517578125e+02
1.974000000000000000e+03 1.397444302761344375e+02 1.303999938964843750e+02
1.975000000000000000e+03 1.443815562331845967e+02 1.503999938964843750e+02
1.976000000000000000e+03 1.534336925414447137e+02 1.648000030517578125e+02
1.977000000000000000e+03 1.533980352535624831e+02 1.593000030517578125e+02
1.978000000000000000e+03 1.451645957192910714e+02 1.436000061035156250e+02
1.979000000000000000e+03 1.436516543529371859e+02 1.381000061035156250e+02
1.980000000000000000e+03 1.440355919140424987e+02 1.340000000000000000e+02
1.981000000000000000e+03 1.462276185791373564e+02 1.440000000000000000e+02
1.982000000000000000e+03 1.456727455817493251e+02 1.483000030517578125e+02
1.983000000000000000e+03 1.391465967535892219e+02 1.468999938964843750e+02
1.984000000000000000e+03 1.307856788021635737e+02 1.336000061035156250e+02
1.985000000000000000e+03 1.274006733420665114e+02 1.288999938964843750e+02
1.986000000000000000e+03 1.220742449917197803e+02 1.263000030517578125e+02
1.987000000000000000e+03 1.174839618674417068e+02 1.104000015258789062e+02
1.988000000000000000e+03 1.155343751611472527e+02 8.000000000000000000e+01
1.989000000000000000e+03 1.109588321744006691e+02 9.440000152587890625e+01
1.990000000000000000e+03 1.081700220687553013e+02 1.001999969482421875e+02
1.991000000000000000e+03 1.089030195817140481e+02 1.018000030517578125e+02
1.992000000000000000e+03 1.073747114034272130e+02 9.850000000000000000e+01
1.993000000000000000e+03 1.068531127598437536e+02 9.519999694824218750e+01
1.994000000000000000e+03 1.075640527927351400e+02 9.409999847412109375e+01
1.995000000000000000e+03 1.103964619525824844e+02 8.950000000000000000e+01
1.996000000000000000e+03 1.038274971137102654e+02 8.990000152587890625e+01
1.997000000000000000e+03 1.017401141619163525e+02 8.169999694824218750e+01
1.998000000000000000e+03 1.019845780426854418e+02 7.859999847412109375e+01
1.999000000000000000e+03 9.856675667067342772e+01 7.050000000000000000e+01
2.000000000000000000e+03 9.344558559337835391e+01 6.600000000000000000e+01
2.001000000000000000e+03 9.292955773565797983e+01 6.519999694824218750e+01
2.002000000000000000e+03 9.189234736443390261e+01 6.370000076293945312e+01
2.003000000000000000e+03 7.956063783156344016e+01 6.359999847412109375e+01
2.004000000000000000e+03 7.555702750896077191e+01 6.359999847412109375e+01
2.005000000000000000e+03 7.326818259404637956e+01 6.020000076293945312e+01
2.006000000000000000e+03 7.629383668439204769e+01 5.450000000000000000e+01
2.007000000000000000e+03 7.467704117029981603e+01 5.290000152587890625e+01
2.008000000000000000e+03 6.738261841039434330e+01 4.700000000000000000e+01
2.009000000000000000e+03 6.526199872417437575e+01 4.579999923706054688e+01
2.010000000000000000e+03 6.114909186294167398e+01 4.379999923706054688e+01
2.011000000000000000e+03 6.031290762567275010e+01 4.329999923706054688e+01
2.012000000000000000e+03 6.034815191406926260e+01 4.120000076293945312e+01
2.013000000000000000e+03 5.856379990257098456e+01 3.900000000000000000e+01
2.014000000000000000e+03 5.804850898172918505e+01 3.720000076293945312e+01
2.015000000000000000e+03 5.777550047803691058e+01 3.579999923706054688e+01
2.016000000000000000e+03 5.478002295430276547e+01 3.559999847412109375e+01
2.017000000000000000e+03 5.231891755665160559e+01 3.290000152587890625e+01
