# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.185719977379524437e+02 1.213000030517578125e+02 5.555552483077616510e-02
1.971000000000000000e+03 1.207939964178012531e+02 1.230000000000000000e+02 5.555607787680515858e-02
1.972000000000000000e+03 1.303968784794882652e+02 1.300000000000000000e+02 5.555607787680515858e-02
1.973000000000000000e+03 1.365164789058907502e+02 1.258000030517578125e+02 5.555607787680515858e-02
1.974000000000000000e+03 1.397444302761344375e+02 1.303999938964843750e+02 5.555552483077616510e-02
1.975000000000000000e+03 1.443815562331845967e+02 1.503999938964843750e+02 5.555552483077616510e-02
1.976000000000000000e+03 1.534336925414447137e+02 1.648000030517578125e+02 5.555607787680515858e-02
1.977000000000000000e+03 1.533980352535624831e+02 1.593000030517578125e+02 5.555607787680515858e-02
1.978000000000000000e+03 1.451645957192910714e+02 1.436000061035156250e+02 5.555607787680515858e-02
1.979000000000000000e+03 1.436516543529371859e+02 1.381000061035156250e+02 5.555607787680515858e-02
1.980000000000000000e+03 1.440355919140424987e+02 1.340000000000000000e+02 5.555607787680515858e-02
1.981000000000000000e+03 1.462276185791373564e+02 1.440000000000000000e+02 5.555607787680515858e-02
1.982000000000000000e+03 1.456727455817493251e+02 1.483000030517578125e+02 5.555607787680515858e-02
1.983000000000000000e+03 1.391465967535892219e+02 1.468999938964843750e+02 5.555607787680515858e-02
1.984000000000000000e+03 1.307856788021635737e+02 1.336000061035156250e+02 5.555552483077616510e-02
1.985000000000000000e+03 1.274006733420665114e+02 1.288999938964843750e+02 5.555607787680515858e-02
1.986000000000000000e+03 1.220742449917197803e+02 1.263000030517578125e+02 5.555607787680515858e-02
1.987000000000000000e+03 1.174839618674417068e+02 1.104000015258789062e+02 5.555607787680515858e-02
