# year, synthetic, actual
1.970000000000000000e+03 9.458920974794062886e+01 8.980000305175781250e+01
1.971000000000000000e+03 9.923141965223172178e+01 9.540000152587890625e+01
1.972000000000000000e+03 1.006330802802595628e+02 1.010999984741210938e+02
1.973000000000000000e+03 1.048734298936923750e+02 1.029000015258789062e+02
1.974000000000000000e+03 1.073237725482748175e+02 1.081999969482421875e+02
1.975000000000000000e+03 1.108894458715917892e+02 1.116999969482421875e+02
1.976000000000000000e+03 1.150903564152884115e+02 1.161999969482421875e+02
1.977000000000000000e+03 1.175494580254179340e+02 1.170999984741210938e+02
1.978000000000000000e+03 1.210644421863820810e+02 1.230000000000000000e+02
1.979000000000000000e+03 1.196128533243684018e+02 1.214000015258789062e+02
1.980000000000000000e+03 1.224854658599855384e+02 1.231999969482421875e+02
1.981000000000000000e+03 1.206776921068917403e+02 1.195999984741210938e+02
1.982000000000000000e+03 1.190377834335343010e+02 1.190999984741210938e+02
1.983000000000000000e+03 1.176154084194794081e+02 1.163000030517578125e+02
1.984000000000000000e+03 1.130694848532890404e+02 1.130000000000000000e+02
1.985000000000000000e+03 1.145783877161684785e+02 1.145000000000000000e+02
1.986000000000000000e+03 1.144099600379771147e+02 1.163000030517578125e+02
1.987000000000000000e+03 1.125945347816179378e+02 1.140000000000000000e+02
1.988000000000000000e+03 1.092122585639617824e+02 1.120999984741210938e+02
1.989000000000000000e+03 1.072718711632431905e+02 1.055999984741210938e+02
1.990000000000000000e+03 1.028618924532919294e+02 1.085999984741210938e+02
1.991000000000000000e+03 1.054630371302726104e+02 1.079000015258789062e+02
1.992000000000000000e+03 1.103058020381138533e+02 1.090999984741210938e+02
1.993000000000000000e+03 1.031410800931834331e+02 1.085000000000000000e+02
1.994000000000000000e+03 9.949188651213451351e+01 1.070999984741210938e+02
1.995000000000000000e+03 1.010299879083110000e+02 1.025999984741210938e+02
1.996000000000000000e+03 9.912140671671798486e+01 1.014000015258789062e+02
1.997000000000000000e+03 1.017298777625124728e+02 1.049000015258789062e+02
1.998000000000000000e+03 9.934137844522787475e+01 1.061999969482421875e+02
1.999000000000000000e+03 9.404256847936544261e+01 1.006999969482421875e+02
2.000000000000000000e+03 8.901629038085602019e+01 9.619999694824218750e+01
2.001000000000000000e+03 8.894908222583865154e+01 9.050000000000000000e+01
2.002000000000000000e+03 7.997072701650530746e+01 8.480000305175781250e+01
2.003000000000000000e+03 8.233486641234432568e+01 8.219999694824218750e+01
2.004000000000000000e+03 7.384512257129961199e+01 8.790000152587890625e+01
2.005000000000000000e+03 7.556422453122948468e+01 8.240000152587890625e+01
2.006000000000000000e+03 7.506152371693522696e+01 8.330000305175781250e+01
2.007000000000000000e+03 7.202035615111712730e+01 8.019999694824218750e+01
2.008000000000000000e+03 7.050049315047574794e+01 7.800000000000000000e+01
2.009000000000000000e+03 6.610706959908948477e+01 7.559999847412109375e+01
2.010000000000000000e+03 5.963060468281986459e+01 7.150000000000000000e+01
2.011000000000000000e+03 5.516532946006775262e+01 6.840000152587890625e+01
2.012000000000000000e+03 5.370565155539578228e+01 6.719999694824218750e+01
2.013000000000000000e+03 5.138330391801793695e+01 6.459999847412109375e+01
2.014000000000000000e+03 4.850508902492418883e+01 6.170000076293945312e+01
2.015000000000000000e+03 4.787311352999067537e+01 6.070000076293945312e+01
2.016000000000000000e+03 4.790944229213959460e+01 6.009999847412109375e+01
2.017000000000000000e+03 4.646220628821212983e+01 5.809999847412109375e+01
