# year, synthetic, actual
1.970000000000000000e+03 1.033077129255200930e+02 1.003000030517578125e+02
1.971000000000000000e+03 1.086620134331868570e+02 1.040999984741210938e+02
1.972000000000000000e+03 1.112026394454730251e+02 1.039000015258789062e+02
1.973000000000000000e+03 1.122061316127432491e+02 1.080000000000000000e+02
1.974000000000000000e+03 1.165132803601326543e+02 1.096999969482421875e+02
1.975000000000000000e+03 1.172329844177047420e+02 1.148000030517578125e+02
1.976000000000000000e+03 1.209652281460025023e+02 1.190999984741210938e+02
1.977000000000000000e+03 1.233269458338612878e+02 1.225999984741210938e+02
1.978000000000000000e+03 1.258650545335289621e+02 1.273000030517578125e+02
1.979000000000000000e+03 1.259552178277207872e+02 1.265000000000000000e+02
1.980000000000000000e+03 1.286313704913316371e+02 1.318000030517578125e+02
1.981000000000000000e+03 1.272046274714131044e+02 1.286999969482421875e+02
1.982000000000000000e+03 1.278368826652619248e+02 1.274000015258789062e+02
1.983000000000000000e+03 1.248725375560888438e+02 1.280000000000000000e+02
1.984000000000000000e+03 1.210191772571858024e+02 1.230999984741210938e+02
1.985000000000000000e+03 1.232162509459244575e+02 1.258000030517578125e+02
1.986000000000000000e+03 1.157670679902723094e+02 1.260000000000000000e+02
1.987000000000000000e+03 1.227254974388677766e+02 1.223000030517578125e+02
1.988000000000000000e+03 1.164603153179440653e+02 1.215000000000000000e+02
1.989000000000000000e+03 1.128941502789297289e+02 1.183000030517578125e+02
1.990000000000000000e+03 1.089148734296709620e+02 1.130999984741210938e+02
1.991000000000000000e+03 1.057388487755384716e+02 1.168000030517578125e+02
1.992000000000000000e+03 1.054401921682589034e+02 1.260000000000000000e+02
1.993000000000000000e+03 1.060276323684294226e+02 1.138000030517578125e+02
1.994000000000000000e+03 1.043255991403879648e+02 1.088000030517578125e+02
1.995000000000000000e+03 1.024160145028495350e+02 1.130000000000000000e+02
1.996000000000000000e+03 1.014283338534228989e+02 1.106999969482421875e+02
1.997000000000000000e+03 1.002609939223903126e+02 1.086999969482421875e+02
1.998000000000000000e+03 9.969826904809031021e+01 1.095000000000000000e+02
1.999000000000000000e+03 9.614042353184291301e+01 1.048000030517578125e+02
2.000000000000000000e+03 8.963089368518228639e+01 9.940000152587890625e+01
2.001000000000000000e+03 8.570601433462228158e+01 1.016999969482421875e+02
2.002000000000000000e+03 8.229222696473064502e+01 8.719999694824218750e+01
2.003000000000000000e+03 8.032398156549196244e+01 9.159999847412109375e+01
2.004000000000000000e+03 7.402456649866648775e+01 7.980000305175781250e+01
2.005000000000000000e+03 7.506117754614776061e+01 8.209999847412109375e+01
2.006000000000000000e+03 7.462550113279969821e+01 8.140000152587890625e+01
2.007000000000000000e+03 7.519047409452146269e+01 7.840000152587890625e+01
2.008000000000000000e+03 5.997009155329835295e+01 7.700000000000000000e+01
2.009000000000000000e+03 6.080427106495363176e+01 7.259999847412109375e+01
2.010000000000000000e+03 5.706636906681676180e+01 6.320000076293945312e+01
2.011000000000000000e+03 5.611170980269982067e+01 6.109999847412109375e+01
2.012000000000000000e+03 5.415974162218771681e+01 6.050000000000000000e+01
2.013000000000000000e+03 5.181538017068307056e+01 5.750000000000000000e+01
2.014000000000000000e+03 4.970593250795793239e+01 5.440000152587890625e+01
2.015000000000000000e+03 4.883735571354718275e+01 5.400000000000000000e+01
2.016000000000000000e+03 4.840063639220221603e+01 5.420000076293945312e+01
2.017000000000000000e+03 4.667094549156153960e+01 5.240000152587890625e+01
