# year, synthetic, actual
1.970000000000000000e+03 1.119020470099208779e+02 1.151999969482421875e+02
1.971000000000000000e+03 1.155240051429048265e+02 1.095999984741210938e+02
1.972000000000000000e+03 1.231890880257309533e+02 1.250000000000000000e+02
1.973000000000000000e+03 1.230577893298543586e+02 1.283000030517578125e+02
1.974000000000000000e+03 1.265156923642996247e+02 1.331000061035156250e+02
1.975000000000000000e+03 1.255748787757028708e+02 1.218000030517578125e+02
1.976000000000000000e+03 1.268204071362500827e+02 1.223000030517578125e+02
1.977000000000000000e+03 1.258782168228972864e+02 1.216999969482421875e+02
1.978000000000000000e+03 1.252196929008028548e+02 1.246999969482421875e+02
1.979000000000000000e+03 1.228198493871563386e+02 1.245999984741210938e+02
1.980000000000000000e+03 1.207701479659452843e+02 1.268000030517578125e+02
1.981000000000000000e+03 1.194678329330675979e+02 1.138000030517578125e+02
1.982000000000000000e+03 1.163095584726462448e+02 1.135000000000000000e+02
1.983000000000000000e+03 1.136145502010797230e+02 1.110999984741210938e+02
1.984000000000000000e+03 1.060158849737071876e+02 1.070999984741210938e+02
1.985000000000000000e+03 1.072507940816049654e+02 1.070999984741210938e+02
1.986000000000000000e+03 1.046161151332313608e+02 1.079000015258789062e+02
1.987000000000000000e+03 1.057957085836918765e+02 1.060999984741210938e+02
1.988000000000000000e+03 9.714353260697107828e+01 1.021999969482421875e+02
1.989000000000000000e+03 9.321576730480367701e+01 9.680000305175781250e+01
1.990000000000000000e+03 9.473438379381404673e+01 8.890000152587890625e+01
1.991000000000000000e+03 8.826134389018842796e+01 8.119999694824218750e+01
1.992000000000000000e+03 8.723800432811465555e+01 7.900000000000000000e+01
1.993000000000000000e+03 8.735761106013535482e+01 8.030000305175781250e+01
1.994000000000000000e+03 8.833801158611265691e+01 7.900000000000000000e+01
1.995000000000000000e+03 8.064551254811742353e+01 7.730000305175781250e+01
1.996000000000000000e+03 7.950639164654194246e+01 7.140000152587890625e+01
1.997000000000000000e+03 7.962940979122707574e+01 6.459999847412109375e+01
1.998000000000000000e+03 7.867433026958410380e+01 6.600000000000000000e+01
1.999000000000000000e+03 7.722898851681719634e+01 6.170000076293945312e+01
2.000000000000000000e+03 7.004856229302255599e+01 5.850000000000000000e+01
2.001000000000000000e+03 6.841780302234519695e+01 5.409999847412109375e+01
2.002000000000000000e+03 6.474967279627314554e+01 5.200000000000000000e+01
2.003000000000000000e+03 6.535008296702363850e+01 4.820000076293945312e+01
2.004000000000000000e+03 5.718572181115270325e+01 4.250000000000000000e+01
2.005000000000000000e+03 5.637769812307224271e+01 4.229999923706054688e+01
2.006000000000000000e+03 5.621543743254475345e+01 4.220000076293945312e+01
2.007000000000000000e+03 5.454073705222501189e+01 3.750000000000000000e+01
2.008000000000000000e+03 5.182526345307876170e+01 3.179999923706054688e+01
2.009000000000000000e+03 4.772438888382700384e+01 2.860000038146972656e+01
2.010000000000000000e+03 4.355480843168625427e+01 2.479999923706054688e+01
2.011000000000000000e+03 4.130424910175858599e+01 2.710000038146972656e+01
2.012000000000000000e+03 3.991297013979761488e+01 2.500000000000000000e+01
2.013000000000000000e+03 3.863941829853907706e+01 2.439999961853027344e+01
2.014000000000000000e+03 3.690642170072300132e+01 2.300000000000000000e+01
2.015000000000000000e+03 3.739745298685841846e+01 2.300000000000000000e+01
2.016000000000000000e+03 3.432039302045517104e+01 2.310000038146972656e+01
2.017000000000000000e+03 3.420463324518749459e+01 2.250000000000000000e+01
