# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.119020470099208779e+02 1.151999969482421875e+02 5.555568504441971145e-02
1.971000000000000000e+03 1.155240051429048265e+02 1.095999984741210938e+02 5.555554793856354312e-02
1.972000000000000000e+03 1.231890880257309533e+02 1.250000000000000000e+02 5.555554793856354312e-02
1.973000000000000000e+03 1.230577893298543586e+02 1.283000030517578125e+02 5.555554793856354312e-02
1.974000000000000000e+03 1.265156923642996247e+02 1.331000061035156250e+02 5.555554793856354312e-02
1.975000000000000000e+03 1.255748787757028708e+02 1.218000030517578125e+02 5.555568504441971145e-02
1.976000000000000000e+03 1.268204071362500827e+02 1.223000030517578125e+02 5.555555030892718460e-02
1.977000000000000000e+03 1.258782168228972864e+02 1.216999969482421875e+02 5.555554793856354312e-02
1.978000000000000000e+03 1.252196929008028548e+02 1.246999969482421875e+02 5.555554793856354312e-02
1.979000000000000000e+03 1.228198493871563386e+02 1.245999984741210938e+02 5.555566142257144929e-02
1.980000000000000000e+03 1.207701479659452843e+02 1.268000030517578125e+02 5.555554793856354312e-02
1.981000000000000000e+03 1.194678329330675979e+02 1.138000030517578125e+02 5.555554793856354312e-02
1.982000000000000000e+03 1.163095584726462448e+02 1.135000000000000000e+02 5.555568504441971145e-02
1.983000000000000000e+03 1.136145502010797230e+02 1.110999984741210938e+02 5.555568504441971145e-02
1.984000000000000000e+03 1.060158849737071876e+02 1.070999984741210938e+02 5.555568504441971145e-02
1.985000000000000000e+03 1.072507940816049654e+02 1.070999984741210938e+02 5.555554793856354312e-02
1.986000000000000000e+03 1.046161151332313608e+02 1.079000015258789062e+02 5.555554793856354312e-02
1.987000000000000000e+03 1.057957085836918765e+02 1.060999984741210938e+02 5.555559784266320134e-02
