# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.180105945606798201e+02 1.230000000000000000e+02 5.555601414063816856e-02
1.971000000000000000e+03 1.199227379101031801e+02 1.210000000000000000e+02 5.555546028026191879e-02
1.972000000000000000e+03 1.240351265155841247e+02 1.235000000000000000e+02 5.555546028026191879e-02
1.973000000000000000e+03 1.242051277308518706e+02 1.244000015258789062e+02 5.555546028026191879e-02
1.974000000000000000e+03 1.268327827648457031e+02 1.266999969482421875e+02 5.555546028026191879e-02
1.975000000000000000e+03 1.271513642020921964e+02 1.270999984741210938e+02 5.555546028026191879e-02
1.976000000000000000e+03 1.279687493149014301e+02 1.280000000000000000e+02 5.555546028026191879e-02
1.977000000000000000e+03 1.266837990457285770e+02 1.264000015258789062e+02 5.555546028026191879e-02
1.978000000000000000e+03 1.259610436005389431e+02 1.260999984741210938e+02 5.555546028026191879e-02
1.979000000000000000e+03 1.229238520893438107e+02 1.219000015258789062e+02 5.555546028026191879e-02
1.980000000000000000e+03 1.205338082174303764e+02 1.201999969482421875e+02 5.555546028026191879e-02
1.981000000000000000e+03 1.195687215763998097e+02 1.185999984741210938e+02 5.555546028026191879e-02
1.982000000000000000e+03 1.165595034359589164e+02 1.154000015258789062e+02 5.555546028026191879e-02
1.983000000000000000e+03 1.111533999482940800e+02 1.108000030517578125e+02 5.555546028026191879e-02
1.984000000000000000e+03 1.033288803824502935e+02 1.048000030517578125e+02 5.555546028026191879e-02
1.985000000000000000e+03 1.038183672983404193e+02 1.028000030517578125e+02 5.555546028026191879e-02
1.986000000000000000e+03 1.001850235873804422e+02 9.969999694824218750e+01 5.555546028026191879e-02
1.987000000000000000e+03 1.010576031089761528e+02 9.750000000000000000e+01 5.555555739069037435e-02
