# year, synthetic, actual
1.970000000000000000e+03 1.236470313289934211e+02 1.248000030517578125e+02
1.971000000000000000e+03 1.270128337665987033e+02 1.255000000000000000e+02
1.972000000000000000e+03 1.333875987969934727e+02 1.343000030517578125e+02
1.973000000000000000e+03 1.312030929637423355e+02 1.378999938964843750e+02
1.974000000000000000e+03 1.313795677425639212e+02 1.328000030517578125e+02
1.975000000000000000e+03 1.328266307968147260e+02 1.310000000000000000e+02
1.976000000000000000e+03 1.359781927819674650e+02 1.341999969482421875e+02
1.977000000000000000e+03 1.355976027237173867e+02 1.320000000000000000e+02
1.978000000000000000e+03 1.352656651892339710e+02 1.291999969482421875e+02
1.979000000000000000e+03 1.301494163704857385e+02 1.315000000000000000e+02
1.980000000000000000e+03 1.307590722978463020e+02 1.310000000000000000e+02
1.981000000000000000e+03 1.310348993585762685e+02 1.338000030517578125e+02
1.982000000000000000e+03 1.290525235474281942e+02 1.305000000000000000e+02
1.983000000000000000e+03 1.242823589947135758e+02 1.253000030517578125e+02
1.984000000000000000e+03 1.175376727779657813e+02 1.196999969482421875e+02
1.985000000000000000e+03 1.134144902515711237e+02 1.124000015258789062e+02
1.986000000000000000e+03 1.103314972039019466e+02 1.099000015258789062e+02
1.987000000000000000e+03 1.055862949451871913e+02 1.024000015258789062e+02
1.988000000000000000e+03 1.004138600515658055e+02 9.459999847412109375e+01
1.989000000000000000e+03 9.690779746982354936e+01 8.880000305175781250e+01
1.990000000000000000e+03 9.247031981271706513e+01 8.740000152587890625e+01
1.991000000000000000e+03 8.953730623334055849e+01 9.019999694824218750e+01
1.992000000000000000e+03 9.114993354213910948e+01 8.830000305175781250e+01
1.993000000000000000e+03 9.105305927021287005e+01 8.859999847412109375e+01
1.994000000000000000e+03 9.204535877379539954e+01 8.909999847412109375e+01
1.995000000000000000e+03 9.306002717158133919e+01 8.540000152587890625e+01
1.996000000000000000e+03 9.157292038498889042e+01 8.309999847412109375e+01
1.997000000000000000e+03 9.156981483181453996e+01 8.130000305175781250e+01
1.998000000000000000e+03 9.290761080512193359e+01 8.119999694824218750e+01
1.999000000000000000e+03 9.004830985929311282e+01 7.959999847412109375e+01
2.000000000000000000e+03 8.330366619352608382e+01 7.300000000000000000e+01
2.001000000000000000e+03 8.194875298264391006e+01 7.040000152587890625e+01
2.002000000000000000e+03 8.094920647006955505e+01 6.619999694824218750e+01
2.003000000000000000e+03 8.601840260519149695e+01 6.379999923706054688e+01
2.004000000000000000e+03 7.693185267980379649e+01 6.070000076293945312e+01
2.005000000000000000e+03 7.490987926534886299e+01 5.790000152587890625e+01
2.006000000000000000e+03 7.147155427101041880e+01 5.309999847412109375e+01
2.007000000000000000e+03 7.110641920504329505e+01 5.109999847412109375e+01
2.008000000000000000e+03 6.213601297534459889e+01 4.840000152587890625e+01
2.009000000000000000e+03 5.937761604184900932e+01 4.600000000000000000e+01
2.010000000000000000e+03 5.184222565878587830e+01 4.140000152587890625e+01
2.011000000000000000e+03 4.845062129689594599e+01 4.059999847412109375e+01
2.012000000000000000e+03 4.811284332030701449e+01 4.059999847412109375e+01
2.013000000000000000e+03 4.599516039993070393e+01 3.829999923706054688e+01
2.014000000000000000e+03 4.408145461978556767e+01 3.670000076293945312e+01
2.015000000000000000e+03 4.399518734168211864e+01 3.629999923706054688e+01
2.016000000000000000e+03 4.320403204999326618e+01 3.579999923706054688e+01
2.017000000000000000e+03 4.270337978071973595e+01 3.450000000000000000e+01
