# year, synthetic, actual
1.970000000000000000e+03 1.492305140321560089e+02 1.550000000000000000e+02
1.971000000000000000e+03 1.540137439572434062e+02 1.611000061035156250e+02
1.972000000000000000e+03 1.573418642125338067e+02 1.563000030517578125e+02
1.973000000000000000e+03 1.508916467596655480e+02 1.546999969482421875e+02
1.974000000000000000e+03 1.504207928198163415e+02 1.513000030517578125e+02
1.975000000000000000e+03 1.506098776198114422e+02 1.476000061035156250e+02
1.976000000000000000e+03 1.564105615246831462e+02 1.530000000000000000e+02
1.977000000000000000e+03 1.563494290586529871e+02 1.533000030517578125e+02
1.978000000000000000e+03 1.578183932297864942e+02 1.555000000000000000e+02
1.979000000000000000e+03 1.546189029220142004e+02 1.501999969482421875e+02
1.980000000000000000e+03 1.554165004669131633e+02 1.505000000000000000e+02
1.981000000000000000e+03 1.543905339895934787e+02 1.526000061035156250e+02
1.982000000000000000e+03 1.542866645258260121e+02 1.541000061035156250e+02
1.983000000000000000e+03 1.497306010917704953e+02 1.496000061035156250e+02
1.984000000000000000e+03 1.439735956652149298e+02 1.440000000000000000e+02
1.985000000000000000e+03 1.409658569304324089e+02 1.445000000000000000e+02
1.986000000000000000e+03 1.396454815789631709e+02 1.423999938964843750e+02
1.987000000000000000e+03 1.381180510823504619e+02 1.410000000000000000e+02
1.988000000000000000e+03 1.335212336455795992e+02 1.371000061035156250e+02
1.989000000000000000e+03 1.290117731788613469e+02 1.316999969482421875e+02
1.990000000000000000e+03 1.225754043720102402e+02 1.271999969482421875e+02
1.991000000000000000e+03 1.192591530130973183e+02 1.188000030517578125e+02
1.992000000000000000e+03 1.183208076940017293e+02 1.200000000000000000e+02
1.993000000000000000e+03 1.165698163528726496e+02 1.238000030517578125e+02
1.994000000000000000e+03 1.172668917435114651e+02 1.260999984741210938e+02
1.995000000000000000e+03 1.206736825723026953e+02 1.271999969482421875e+02
1.996000000000000000e+03 1.172639672594152529e+02 1.283000030517578125e+02
1.997000000000000000e+03 1.212168453179201748e+02 1.240999984741210938e+02
1.998000000000000000e+03 1.193236421852406721e+02 1.328000030517578125e+02
1.999000000000000000e+03 1.169811634003250305e+02 1.395000000000000000e+02
2.000000000000000000e+03 1.089887340863567857e+02 1.406999969482421875e+02
2.001000000000000000e+03 1.069220103656011958e+02 1.413999938964843750e+02
2.002000000000000000e+03 1.034727438038387959e+02 1.423999938964843750e+02
2.003000000000000000e+03 1.009377396868589614e+02 1.841999969482421875e+02
2.004000000000000000e+03 9.788408792352015553e+01 1.760000000000000000e+02
2.005000000000000000e+03 9.851057331257342753e+01 1.788000030517578125e+02
2.006000000000000000e+03 8.296345136384354646e+01 1.836000061035156250e+02
2.007000000000000000e+03 8.003336051273277008e+01 1.851999969482421875e+02
2.008000000000000000e+03 7.405717333902765631e+01 1.333000030517578125e+02
2.009000000000000000e+03 7.214599578318983220e+01 1.228000030517578125e+02
2.010000000000000000e+03 6.654797543872183496e+01 9.500000000000000000e+01
2.011000000000000000e+03 6.372200883374143388e+01 8.759999847412109375e+01
2.012000000000000000e+03 6.302467541461982137e+01 8.490000152587890625e+01
2.013000000000000000e+03 6.131108768403959175e+01 7.709999847412109375e+01
2.014000000000000000e+03 6.045210272847603505e+01 7.119999694824218750e+01
2.015000000000000000e+03 5.953293003806803796e+01 7.009999847412109375e+01
2.016000000000000000e+03 5.860403739353099439e+01 6.809999847412109375e+01
2.017000000000000000e+03 5.723292844572146976e+01 7.259999847412109375e+01
