# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.219568633160043163e+02 1.235999984741210938e+02 5.555557138473953688e-02
1.971000000000000000e+03 1.251647888479495521e+02 1.230000000000000000e+02 5.555553240644174606e-02
1.972000000000000000e+03 1.274395672782985969e+02 1.260000000000000000e+02 5.555561402826039025e-02
1.973000000000000000e+03 1.299014174749663084e+02 1.326000061035156250e+02 5.555560319173556694e-02
1.974000000000000000e+03 1.325765636076552312e+02 1.360000000000000000e+02 5.555560534625023084e-02
1.975000000000000000e+03 1.320002273640364479e+02 1.318999938964843750e+02 5.555553240644174606e-02
1.976000000000000000e+03 1.339390361243911514e+02 1.303000030517578125e+02 5.555560377470098593e-02
1.977000000000000000e+03 1.340706314885223662e+02 1.331000061035156250e+02 5.555558655960479708e-02
1.978000000000000000e+03 1.348118240897281055e+02 1.333999938964843750e+02 5.555558549729908840e-02
1.979000000000000000e+03 1.347961120861857296e+02 1.353999938964843750e+02 5.555553432779793133e-02
1.980000000000000000e+03 1.358972399801540121e+02 1.390000000000000000e+02 5.555557891799102477e-02
1.981000000000000000e+03 1.341247912533911517e+02 1.328000030517578125e+02 5.555557554010758653e-02
1.982000000000000000e+03 1.321487005065806670e+02 1.318000030517578125e+02 5.555553240644174606e-02
1.983000000000000000e+03 1.287942607841385723e+02 1.275999984741210938e+02 5.555553240644174606e-02
1.984000000000000000e+03 1.239114285533644448e+02 1.246999969482421875e+02 5.555560348721524933e-02
1.985000000000000000e+03 1.253898629058490144e+02 1.241999969482421875e+02 5.555556937470793044e-02
1.986000000000000000e+03 1.244507091047432397e+02 1.246999969482421875e+02 5.555560116127500336e-02
1.987000000000000000e+03 1.240855999794642628e+02 1.250999984741210938e+02 5.555557213261696353e-02
