# year, synthetic, actual
1.970000000000000000e+03 1.109972130298198323e+02 1.099000015258789062e+02
1.971000000000000000e+03 1.160072909730015169e+02 1.156999969482421875e+02
1.972000000000000000e+03 1.167829172432716973e+02 1.170000000000000000e+02
1.973000000000000000e+03 1.184314550119115523e+02 1.198000030517578125e+02
1.974000000000000000e+03 1.204743796613057611e+02 1.236999969482421875e+02
1.975000000000000000e+03 1.228587308729998711e+02 1.229000015258789062e+02
1.976000000000000000e+03 1.268425424567198689e+02 1.259000015258789062e+02
1.977000000000000000e+03 1.295285534917716177e+02 1.279000015258789062e+02
1.978000000000000000e+03 1.326827027295362313e+02 1.306000061035156250e+02
1.979000000000000000e+03 1.311703781838475038e+02 1.310000000000000000e+02
1.980000000000000000e+03 1.346491498045296566e+02 1.340000000000000000e+02
1.981000000000000000e+03 1.328993202865299281e+02 1.316999969482421875e+02
1.982000000000000000e+03 1.328540595135065985e+02 1.311999969482421875e+02
1.983000000000000000e+03 1.306219990838481522e+02 1.286000061035156250e+02
1.984000000000000000e+03 1.264691450241914197e+02 1.263000030517578125e+02
1.985000000000000000e+03 1.272851924851005663e+02 1.288000030517578125e+02
1.986000000000000000e+03 1.265731610283082205e+02 1.290000000000000000e+02
1.987000000000000000e+03 1.252638222401532886e+02 1.293000030517578125e+02
1.988000000000000000e+03 1.235114986024232451e+02 1.240999984741210938e+02
1.989000000000000000e+03 1.203817937051242239e+02 1.170999984741210938e+02
1.990000000000000000e+03 1.162146937332509822e+02 1.138000030517578125e+02
1.991000000000000000e+03 1.170274794671689875e+02 1.095999984741210938e+02
1.992000000000000000e+03 1.192615160563256609e+02 1.091999969482421875e+02
1.993000000000000000e+03 1.136709057893931032e+02 1.091999969482421875e+02
1.994000000000000000e+03 1.111091662868229832e+02 1.078000030517578125e+02
1.995000000000000000e+03 1.138762118287671825e+02 1.003000030517578125e+02
1.996000000000000000e+03 1.104387437509872143e+02 1.026999969482421875e+02
1.997000000000000000e+03 1.131874217688286564e+02 1.005999984741210938e+02
1.998000000000000000e+03 1.136595189855628121e+02 1.005000000000000000e+02
1.999000000000000000e+03 1.082367519720671112e+02 9.709999847412109375e+01
2.000000000000000000e+03 1.033689038449710722e+02 8.809999847412109375e+01
2.001000000000000000e+03 1.028614427498407906e+02 8.590000152587890625e+01
2.002000000000000000e+03 9.608851460823032653e+01 7.950000000000000000e+01
2.003000000000000000e+03 9.633792894436975018e+01 8.309999847412109375e+01
2.004000000000000000e+03 8.924508722980830555e+01 6.809999847412109375e+01
2.005000000000000000e+03 9.153179957774226239e+01 7.019999694824218750e+01
2.006000000000000000e+03 8.626450318677757423e+01 6.819999694824218750e+01
2.007000000000000000e+03 8.390719882411860908e+01 6.469999694824218750e+01
2.008000000000000000e+03 7.748862916587808058e+01 6.159999847412109375e+01
2.009000000000000000e+03 7.380440439331762548e+01 5.879999923706054688e+01
2.010000000000000000e+03 6.748370124747248155e+01 5.529999923706054688e+01
2.011000000000000000e+03 6.307274259901284097e+01 5.429999923706054688e+01
2.012000000000000000e+03 6.082640583906245269e+01 5.309999847412109375e+01
2.013000000000000000e+03 5.886377316952430050e+01 4.990000152587890625e+01
2.014000000000000000e+03 5.616962773091275807e+01 4.900000000000000000e+01
2.015000000000000000e+03 5.518286053328068874e+01 4.729999923706054688e+01
2.016000000000000000e+03 5.483751045120497025e+01 4.729999923706054688e+01
2.017000000000000000e+03 5.365530572306226276e+01 4.559999847412109375e+01
