# year, synthetic, actual
1.970000000000000000e+03 1.044299133473909507e+02 1.024000015258789062e+02
1.971000000000000000e+03 1.098796036212903147e+02 1.085000000000000000e+02
1.972000000000000000e+03 1.198751093252991637e+02 1.260999984741210938e+02
1.973000000000000000e+03 1.222437563341139537e+02 1.218000030517578125e+02
1.974000000000000000e+03 1.240376730228611279e+02 1.255999984741210938e+02
1.975000000000000000e+03 1.252000690838514032e+02 1.233000030517578125e+02
1.976000000000000000e+03 1.265901252649756117e+02 1.250999984741210938e+02
1.977000000000000000e+03 1.244608945448723745e+02 1.250000000000000000e+02
1.978000000000000000e+03 1.225979312624809552e+02 1.228000030517578125e+02
1.979000000000000000e+03 1.189584190370931083e+02 1.175000000000000000e+02
1.980000000000000000e+03 1.168938736026219374e+02 1.151999969482421875e+02
1.981000000000000000e+03 1.157817733416828361e+02 1.140999984741210938e+02
1.982000000000000000e+03 1.128648303110586397e+02 1.115000000000000000e+02
1.983000000000000000e+03 1.080358589127439188e+02 1.113000030517578125e+02
1.984000000000000000e+03 1.020508740579701765e+02 1.035999984741210938e+02
1.985000000000000000e+03 9.997743115950510173e+01 1.006999969482421875e+02
1.986000000000000000e+03 9.789809223805825411e+01 9.669999694824218750e+01
1.987000000000000000e+03 9.519143447152841020e+01 9.500000000000000000e+01
1.988000000000000000e+03 8.860247200150655544e+01 8.450000000000000000e+01
1.989000000000000000e+03 8.629912989051956629e+01 7.840000152587890625e+01
1.990000000000000000e+03 8.259189760752720133e+01 9.009999847412109375e+01
1.991000000000000000e+03 8.177429255621507309e+01 8.540000152587890625e+01
1.992000000000000000e+03 8.245638243348697927e+01 8.509999847412109375e+01
1.993000000000000000e+03 8.193238334910745380e+01 8.669999694824218750e+01
1.994000000000000000e+03 7.830299304186981146e+01 9.300000000000000000e+01
1.995000000000000000e+03 7.989740504667001630e+01 7.819999694824218750e+01
1.996000000000000000e+03 8.029737179334931341e+01 7.359999847412109375e+01
1.997000000000000000e+03 7.893683874193253303e+01 7.500000000000000000e+01
1.998000000000000000e+03 7.576126932715173723e+01 7.890000152587890625e+01
1.999000000000000000e+03 7.135651078819286397e+01 7.509999847412109375e+01
2.000000000000000000e+03 6.627816044275435559e+01 6.690000152587890625e+01
2.001000000000000000e+03 6.369986111144697816e+01 6.669999694824218750e+01
2.002000000000000000e+03 6.307572960960334285e+01 6.329999923706054688e+01
2.003000000000000000e+03 6.194673936180478080e+01 6.469999694824218750e+01
2.004000000000000000e+03 5.355553663674422893e+01 6.079999923706054688e+01
2.005000000000000000e+03 5.242013707124871758e+01 5.829999923706054688e+01
2.006000000000000000e+03 5.003002153192161217e+01 5.879999923706054688e+01
2.007000000000000000e+03 4.730625196656279741e+01 5.859999847412109375e+01
2.008000000000000000e+03 4.499420433634897165e+01 5.590000152587890625e+01
2.009000000000000000e+03 4.247991568101333115e+01 5.240000152587890625e+01
2.010000000000000000e+03 3.920388242495781839e+01 4.640000152587890625e+01
2.011000000000000000e+03 3.657024687349653647e+01 4.550000000000000000e+01
2.012000000000000000e+03 3.640716412776220068e+01 4.350000000000000000e+01
2.013000000000000000e+03 3.502009901277580894e+01 4.309999847412109375e+01
2.014000000000000000e+03 3.344287111795549805e+01 4.079999923706054688e+01
2.015000000000000000e+03 3.336203394175848302e+01 4.079999923706054688e+01
2.016000000000000000e+03 3.258723676984146778e+01 4.070000076293945312e+01
2.017000000000000000e+03 3.214431099240110257e+01 3.900000000000000000e+01
